cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
86.7302,8.0224,50.1567,34.5381,2.0,27.8868,10.2277,95.5307,1.0,0.0,0.0,0.0,0.0
16.9099,54.2385,24.2159,86.7714,8.0,34.4572,99.2553,76.7421,1.0,0.0,0.0,0.0,0.0
27.58,5.1598,98.3131,37.1597,19.0,68.0046,37.1182,65.0373,1.0,0.0,0.0,0.0,0.0
57.1074,41.9965,25.2378,0.2747,72.0,46.0908,0.7008,85.986,0.0,0.0,0.0,0.0,0.0
57.431,32.8211,77.6946,44.7893,50.0,47.0854,51.0132,22.0571,1.0,1.0,1.0,1.0,1.0
70.5907,64.4968,43.8324,98.5652,25.0,56.1875,95.7331,64.209,0.0,0.0,0.0,0.0,0.0
97.0597,42.8713,37.9569,92.2252,63.0,5.4938,65.9815,55.0165,0.0,0.0,0.0,0.0,0.0
34.3109,98.3037,92.9564,39.6383,26.0,85.2423,55.2389,65.8897,1.0,1.0,1.0,1.0,1.0
66.6762,77.2695,34.0053,48.5682,12.0,55.4109,58.0306,16.1489,1.0,1.0,1.0,1.0,1.0
92.3722,45.3417,44.0991,0.2026,45.0,23.9462,93.7194,43.9618,0.0,0.0,0.0,0.0,0.0
2.0589,99.1514,85.1463,88.4983,85.0,12.9501,43.2793,61.3103,1.0,1.0,1.0,1.0,1.0
31.0598,46.5723,97.2947,61.8276,17.0,24.361,67.1293,84.1258,0.0,1.0,1.0,1.0,1.0
29.0436,34.7245,35.817,27.3669,84.0,6.8197,72.3642,43.5201,1.0,1.0,1.0,1.0,1.0
7.6414,77.1629,55.3914,89.8609,32.0,62.982,49.3965,7.746,1.0,1.0,1.0,1.0,1.0
22.8428,69.8406,25.3046,56.7951,81.0,32.6096,74.1027,42.3448,1.0,1.0,1.0,1.0,1.0
24.8364,75.6698,48.3122,76.8818,25.0,70.7356,33.1861,48.9124,1.0,1.0,1.0,1.0,1.0
29.1751,46.0695,89.0462,86.3376,86.0,16.5375,43.9828,67.3679,1.0,1.0,1.0,1.0,1.0
38.4616,70.0607,80.025,46.6945,86.0,9.2769,62.7437,25.3096,1.0,1.0,1.0,1.0,1.0
37.8973,95.3347,78.0482,49.1562,78.0,1.7274,69.8242,34.3891,1.0,1.0,1.0,1.0,1.0
82.8709,55.0622,0.7015,7.2293,32.0,5.8391,98.6359,54.3734,1.0,0.0,0.0,0.0,0.0
17.7109,98.9747,68.0148,17.2504,43.0,20.9111,84.8534,28.1712,1.0,1.0,1.0,1.0,1.0
11.6022,93.2209,75.5192,38.6729,52.0,33.7885,22.9889,39.7224,1.0,1.0,1.0,1.0,1.0
56.9358,61.7221,20.6421,90.3834,1.0,97.449,82.8131,98.4611,1.0,0.0,0.0,0.0,0.0
20.9375,91.3749,93.5819,98.7935,83.0,29.8695,30.4987,59.7625,0.0,1.0,1.0,1.0,1.0
2.4593,84.8008,71.2856,37.9466,40.0,64.2754,58.4902,73.5243,1.0,1.0,1.0,1.0,1.0
68.0609,45.3665,29.483,0.8727,39.0,82.8653,97.0709,40.2001,0.0,0.0,0.0,0.0,0.0
19.9484,37.4081,69.5434,66.6081,50.0,23.8894,11.7671,60.1444,1.0,1.0,1.0,1.0,1.0
60.6834,1.9759,31.5124,12.5324,50.0,7.4617,37.95,56.7678,1.0,0.0,0.0,0.0,0.0
14.3618,57.3068,6.9944,36.3271,50.0,83.5912,58.8802,2.4886,1.0,0.0,0.0,0.0,0.0
8.3727,34.6044,49.9836,35.5916,10.0,20.1774,39.61,45.0243,1.0,1.0,1.0,1.0,1.0
39.394,45.3802,82.6298,80.5818,84.0,76.2841,68.3271,76.4583,1.0,1.0,1.0,1.0,1.0
88.9481,71.0824,72.0026,32.7416,39.0,92.1384,88.7923,55.1458,1.0,0.0,0.0,0.0,0.0
77.1598,31.6786,76.4776,51.3669,36.0,2.4674,26.3295,8.2648,0.0,0.0,0.0,0.0,0.0
21.5229,34.8864,27.6103,19.5901,76.0,23.1294,88.0149,29.9954,0.0,0.0,0.0,0.0,0.0
33.1999,8.4773,63.6274,6.8036,35.0,21.1099,33.4252,48.95,0.0,0.0,0.0,0.0,0.0
92.7483,83.8154,50.8587,90.2507,53.0,84.0606,55.7712,41.5602,1.0,0.0,0.0,0.0,0.0
18.0856,38.8622,66.131,95.512,90.0,43.6097,20.3163,93.8942,1.0,1.0,1.0,1.0,1.0
83.5031,37.8677,35.2577,32.6533,3.0,39.9381,46.2225,33.0925,1.0,0.0,0.0,0.0,0.0
13.5176,94.5014,64.1749,81.7118,48.0,30.7319,79.8071,57.0183,1.0,1.0,1.0,1.0,1.0
25.6959,95.1416,98.9981,35.9503,66.0,23.4703,77.8835,38.2215,0.0,1.0,1.0,1.0,1.0
14.5035,91.0176,31.0986,54.7596,94.0,1.2423,3.8802,72.1054,1.0,1.0,1.0,1.0,1.0
62.6166,99.0027,30.0393,41.133,6.0,52.7682,39.0424,78.2879,0.0,0.0,0.0,0.0,0.0
93.329,20.069,33.8486,53.5506,87.0,91.5439,58.2178,21.2953,1.0,0.0,0.0,0.0,0.0
