cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
67.1194,78.6689,34.2812,47.3848,16.0,42.1792,5.2157,24.7696,1.0,False,False,True,True
15.9945,21.7257,62.9183,23.3546,76.0,40.3689,5.1428,99.6044,0.0,False,False,False,True
60.303,99.5417,64.9004,76.9641,46.0,89.8844,39.5796,24.2013,0.0,False,True,False,True
30.7082,59.9845,59.5622,30.4803,49.0,71.1846,46.2039,12.0967,1.0,True,False,False,True
28.5624,61.8498,32.8928,88.8135,89.0,11.9617,76.5954,77.6919,0.0,False,True,False,True
32.9745,59.1368,77.0222,70.3449,62.0,11.3127,92.0433,52.9038,0.0,True,True,False,False
0.824,80.8856,15.4124,74.1041,53.0,95.4343,34.8038,51.8821,1.0,False,False,False,True
58.1015,75.2204,60.3196,88.4837,55.0,26.785,45.2402,34.4515,0.0,False,True,False,True
80.6658,8.427,51.0998,3.6465,93.0,45.2392,24.5785,35.2081,0.0,False,False,False,False
19.6214,96.8515,81.9694,68.5289,44.0,5.2124,61.5697,40.3647,0.0,True,True,False,False
14.8924,28.9642,54.1692,69.1636,24.0,4.3814,38.9104,98.134,1.0,False,False,True,True
50.1582,56.4068,92.356,76.3608,18.0,37.1863,70.4431,58.5597,1.0,True,True,True,True
62.2017,46.9011,16.412,83.1915,55.0,2.7235,0.3099,50.8847,0.0,False,False,False,True
61.4375,40.416,43.3816,62.0588,35.0,31.4946,46.995,60.0942,1.0,True,True,True,True
27.5218,75.0478,56.493,48.6554,74.0,47.6213,30.1401,64.4798,1.0,True,True,True,True
75.016,6.6247,4.2904,85.1677,71.0,78.0761,22.322,81.2488,1.0,False,False,False,False
30.1877,26.2208,83.2791,93.1783,44.0,5.5366,0.5909,9.4084,1.0,False,True,True,True
40.305,46.1072,36.4103,59.6965,27.0,64.3471,35.673,67.5755,0.0,True,True,False,False
10.5826,50.4031,65.6283,96.6403,16.0,74.5235,82.847,27.8039,0.0,True,True,False,False
78.1982,93.8454,30.3653,65.247,22.0,5.3067,39.607,37.8702,0.0,True,True,False,False
9.0695,65.534,43.577,97.5911,36.0,92.3336,86.3371,95.0466,0.0,False,True,False,False
10.6119,18.0813,79.7558,19.2177,34.0,10.1417,64.2272,70.561,0.0,True,True,False,False
83.6098,81.3731,71.0834,34.1877,31.0,80.738,2.7213,5.8474,1.0,False,False,False,True
48.407,65.699,97.484,34.3842,96.0,59.922,31.1155,54.9407,0.0,True,True,False,False
69.2564,83.1593,68.189,38.2925,63.0,38.5438,25.942,6.5396,1.0,True,False,True,False
93.2175,27.3546,53.0814,45.4494,0.0,23.1586,85.8709,67.0729,0.0,False,False,True,True
56.041,23.3168,61.2901,28.652,21.0,17.7321,9.2353,86.8952,1.0,False,False,False,True
57.1931,45.1507,18.1827,62.1685,18.0,8.9665,23.9736,19.8964,1.0,False,False,False,True
76.8764,61.4284,43.6095,75.9878,16.0,10.1651,44.7372,72.0437,1.0,True,True,True,False
18.7649,61.5084,75.9907,79.0836,77.0,83.6185,31.788,15.6038,1.0,True,False,True,True
54.6409,99.0135,93.7142,90.1984,11.0,91.6865,1.4734,61.6613,1.0,False,False,True,True
84.6201,90.8552,4.9303,60.9176,8.0,93.2118,15.6863,4.4321,0.0,False,False,False,False
50.8357,22.775,95.7016,76.6987,8.0,31.2989,46.137,91.0724,0.0,False,True,False,False
23.0631,0.2526,71.7251,9.5534,72.0,91.672,62.9485,58.9294,0.0,False,False,True,False
33.4547,25.8038,42.3846,73.8322,46.0,44.0528,89.173,58.1558,0.0,True,True,False,False
55.776,20.6265,23.7502,25.3061,100.0,3.411,77.9816,27.3761,1.0,True,False,False,False
19.3578,99.0178,87.1477,56.3494,50.0,19.6832,74.7223,83.2301,0.0,True,False,True,False
36.9724,48.8166,76.8669,51.9492,59.0,56.7764,53.5914,47.4251,1.0,True,True,True,True
86.781,19.1329,43.4185,24.2833,59.0,27.912,49.1602,25.8241,0.0,False,False,False,False
71.0012,0.2916,82.7736,94.6646,7.0,56.9134,95.2011,44.026,0.0,False,False,True,True
33.0121,74.2976,88.7895,79.1366,63.0,69.7259,55.7071,68.2353,0.0,False,True,False,True
62.7095,64.3035,84.6735,36.5544,100.0,35.6928,78.5859,63.5573,0.0,True,True,False,True
52.3922,94.7048,12.7239,41.3084,25.0,55.6702,7.0582,86.083,1.0,False,False,False,False
40.8396,85.4265,95.0997,65.0914,17.0,29.7824,81.7512,14.9167,1.0,True,False,False,True
48.663,35.3557,68.019,55.7316,39.0,58.616,89.9684,52.2839,1.0,True,False,True,False
25.6959,95.1416,98.9981,35.9503,66.0,23.4703,77.8835,38.2215,0.0,True,True,True,True
13.379,79.8647,42.1251,90.9068,8.0,70.0389,52.9054,53.9766,0.0,False,True,False,False
24.7555,33.1623,61.6728,10.6086,52.0,6.8498,17.2833,57.9571,0.0,True,False,False,True
19.962,76.8623,40.268,78.7877,10.0,41.74,95.449,10.5993,0.0,True,True,False,False
61.184,58.2044,78.9916,46.4626,89.0,17.6326,97.5185,72.4279,1.0,True,False,False,False
24.0355,54.4559,17.9966,39.6145,34.0,18.4371,24.0272,80.1172,0.0,False,True,False,False
20.8863,31.5362,40.4758,42.8769,52.0,52.5742,56.0012,7.6477,0.0,False,False,False,True
45.1978,33.3863,71.3219,28.6691,94.0,33.4903,86.404,58.6169,0.0,False,False,False,True
7.9046,90.8421,99.9272,92.4655,56.0,18.6942,20.8583,55.9614,0.0,True,True,False,False
74.6704,92.8685,39.6552,43.4718,67.0,19.7568,67.6236,44.1278,0.0,False,True,False,False
40.8987,39.2693,16.0431,97.6495,54.0,29.1487,24.3015,60.2695,1.0,True,False,False,True
60.1474,27.1926,52.3519,89.0287,96.0,59.9518,93.9529,63.3431,1.0,True,False,True,False
86.298,14.6249,3.6538,13.7465,0.0,10.3484,1.5225,33.7269,1.0,False,False,False,True
64.2578,24.9775,62.5173,76.6878,20.0,4.8686,89.2144,59.9003,1.0,True,False,True,False
50.9248,89.133,87.4186,75.9549,63.0,43.9931,87.3259,55.3829,0.0,True,True,False,False
41.5107,56.1728,3.6403,8.2502,15.0,79.8226,13.5536,37.5593,1.0,False,False,False,False
4.6907,14.5627,76.763,19.7523,99.0,39.0687,47.3239,46.1305,0.0,False,True,False,False
11.8908,21.3092,60.1533,56.3536,90.0,80.3518,73.3674,76.5553,1.0,False,False,True,True
29.2194,94.8552,37.4064,34.0239,100.0,89.3745,46.3067,86.6491,0.0,False,True,False,True
79.7968,93.211,35.5941,85.1544,100.0,12.2294,83.6738,64.0796,1.0,True,False,True,True
1.2063,38.0062,64.3547,89.5041,84.0,35.9105,50.4013,51.5402,0.0,True,True,True,False
17.5709,38.0136,87.5201,77.711,96.0,5.1435,72.1316,93.5781,0.0,True,False,False,True
57.3705,40.9285,68.931,48.3296,87.0,14.5293,78.6051,80.1087,0.0,True,False,False,True
59.7347,79.6501,71.4311,98.0102,50.0,82.1096,22.6333,18.7658,0.0,False,True,False,True
79.7784,39.3837,11.9118,41.1338,83.0,38.8901,3.8958,16.2785,1.0,False,True,False,True
35.5429,54.6547,86.3922,21.2619,85.0,40.4522,19.2407,24.1679,0.0,True,True,False,False
8.2172,31.5277,90.1732,37.3389,85.0,3.6497,95.8805,2.6705,1.0,True,False,False,False
49.4304,29.4552,42.4425,13.8782,50.0,65.4317,50.0634,52.1458,0.0,False,True,False,False
11.6617,73.8854,17.927,79.771,85.0,60.7979,57.6858,53.7639,0.0,True,True,False,False
72.4932,69.796,37.143,52.1961,76.0,20.8814,36.5086,57.2304,0.0,False,True,False,False
33.6538,73.7612,87.6711,27.7233,56.0,11.1107,78.1935,56.0964,0.0,True,False,False,False
82.9692,35.7311,36.606,90.0066,78.0,13.1531,69.468,21.0203,1.0,True,False,False,False
94.2121,78.0732,39.7235,71.5325,92.0,42.3161,2.5238,79.2925,1.0,False,False,False,True
56.5494,46.3424,32.7469,79.3996,75.0,5.9776,39.6461,42.6477,1.0,True,False,True,True
29.636,85.505,73.4992,32.4069,47.0,80.5374,48.0144,18.2872,1.0,True,True,True,True
74.1766,45.2764,87.2189,32.5922,75.0,31.8672,92.0985,89.9824,0.0,True,True,False,False
23.3742,45.1794,58.2839,83.3183,39.0,91.3179,9.2471,11.8986,1.0,False,False,True,False
57.4694,95.1847,17.8403,62.3939,100.0,63.4017,76.1171,18.9669,1.0,True,True,True,False
5.4568,75.278,82.185,57.5538,80.0,49.1634,94.331,27.8132,0.0,True,True,False,False
63.7049,12.6113,82.3644,36.5105,82.0,21.6399,24.0796,26.4004,1.0,False,False,False,True
86.2948,70.5112,46.0217,16.0863,86.0,16.1203,46.3056,48.7155,1.0,True,False,False,True
93.4642,90.6341,59.3451,22.7704,59.0,11.0817,52.0482,58.0834,1.0,False,False,False,True
60.5417,99.4735,26.0848,67.7773,70.0,52.7483,43.5982,86.1425,0.0,False,True,False,False
82.2452,45.2105,55.2002,99.1671,6.0,77.7522,23.9174,63.8215,1.0,False,False,False,True
47.8221,37.1367,91.1511,95.119,62.0,10.3893,50.5681,91.7872,1.0,True,False,True,True
9.7249,70.3506,79.4707,95.4066,33.0,66.4448,68.2093,14.5116,1.0,True,False,True,True
59.463,68.7303,59.8192,75.2883,5.0,14.8529,39.7446,98.9607,1.0,False,False,True,True
76.294,88.6105,52.8494,45.0342,37.0,26.226,88.4276,49.0903,1.0,True,True,False,False
3.2516,41.3886,43.0045,82.8141,9.0,66.2017,18.8614,33.7765,0.0,True,True,False,False
67.2121,65.5299,24.4475,70.6041,54.0,8.7747,46.1287,14.2063,1.0,True,False,True,False
21.6846,55.3693,66.0354,90.5653,21.0,73.7505,27.4579,36.3429,1.0,True,True,True,True
7.2961,85.4786,88.8497,31.38,71.0,57.9017,54.5704,38.0978,0.0,True,False,False,False
