sample_index,rules,n_satisfied_reqs,pred_req_0,real_req_0,pred_req_1,real_req_1,pred_req_2,real_req_2,pred_req_3,real_req_3,pred_req_4,real_req_4,pred_req_5,real_req_5,pred_req_6,real_req_6,pred_req_7,real_req_7,pred_req_8,real_req_8,pred_req_9,real_req_9,pred_req_10,real_req_10,pred_req_11,real_req_11
0,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; formation = 1.0; 26.00 < #threats <= 75.00; threat_range <= 30458.59; day_time > 18.00; #threats <= 53.00; countermeasure = 0.0; 26.00 < #threats <= 53.00; threat_range <= 30458.59; countermeasure = 0.0; threat_range <= 30458.59; #threats > 26.00; threat_range <= 30458.59; countermeasure = 0.0; #threats <= 53.00; day_time > 18.00,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,countermeasure = 0.0; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; threat_range > 10398.43; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; threat_range <= 30458.59; countermeasure = 0.0; countermeasure = 0.0; threat_range > 10398.43; flying_speed <= 38.83; countermeasure = 0.0; threat_range <= 30458.59; #threats <= 75.00; day_time <= 18.00; flying_speed <= 38.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,countermeasure = 0.0; flying_speed <= 38.83; countermeasure = 0.0; flying_speed <= 38.83; threat_range <= 30458.59; #threats <= 53.00; countermeasure = 0.0; day_time <= 6.00; flying_speed <= 38.83; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 38.83; #threats <= 26.00; #threats <= 26.00; countermeasure = 0.0; day_time <= 12.00; threat_range <= 30458.59; day_time <= 6.00,12,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1
3,countermeasure = 0.0; #threats <= 75.00; countermeasure = 0.0; flying_speed <= 38.83; #threats > 26.00; #threats <= 53.00; formation = 0.0; countermeasure = 0.0; 26.00 < #threats <= 75.00; flying_speed <= 38.83; #threats <= 75.00; countermeasure = 0.0; weather = 2.0; #threats <= 53.00; 26.00 < #threats <= 53.00; countermeasure = 0.0; day_time <= 18.00; threat_range > 10398.43; threat_range > 30458.59,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,countermeasure = 0.0; countermeasure = 0.0; countermeasure = 0.0; weather = 1.0; day_time > 12.00; countermeasure = 0.0; threat_range > 30458.59,8,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1
5,countermeasure = 0.0; #threats <= 53.00; countermeasure = 0.0; flying_speed <= 38.83; 10398.43 < threat_range <= 30458.59; weather = 3.0; day_time <= 12.00; countermeasure = 0.0; flying_speed <= 38.83; weather = 3.0; threat_range <= 30458.59; #threats <= 26.00; countermeasure = 0.0; flying_speed <= 38.83; day_time <= 6.00; day_time <= 6.00; #threats <= 53.00; countermeasure = 0.0; countermeasure = 0.0,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,#threats > 26.00; threat_range > 30458.59; flying_speed <= 38.83; formation = 0.0; #threats <= 53.00; threat_range > 30458.59; #threats > 26.00; threat_range > 10398.43; #threats <= 75.00; 26.00 < #threats <= 53.00; weather = 2.0,9,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
7,threat_range > 10398.43; flying_speed <= 38.83; #threats <= 53.00; threat_range > 20104.47; 26.00 < #threats <= 53.00; day_time <= 12.00; #threats <= 53.00,8,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
8,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 15.83; threat_range > 10398.43; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 15.83; weather = 2.0; #threats > 26.00; flying_speed <= 15.83,12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,#threats <= 75.00; #threats <= 26.00; #threats <= 53.00; countermeasure = 1.0; weather = 1.0; day_time <= 12.00; #threats <= 75.00; formation = 1.0; flying_speed <= 38.83; threat_range > 30458.59,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
10,countermeasure = 0.0; day_time <= 18.00; threat_range > 20104.47; countermeasure = 0.0; #threats <= 53.00; flying_speed <= 15.83; #threats <= 53.00; threat_range > 10398.43; countermeasure = 0.0; countermeasure = 0.0,9,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
11,#threats > 26.00; flying_speed <= 27.56; day_time <= 18.00; #threats <= 53.00; #threats > 26.00; flying_speed <= 38.83; #threats > 26.00; day_time <= 6.00; formation = 1.0; #threats <= 53.00,9,1,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,1
12,flying_speed <= 15.83; #threats <= 75.00; flying_speed <= 15.83; flying_speed <= 27.56; #threats <= 75.00; threat_range <= 20104.47; flying_speed <= 15.83,8,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1
13,countermeasure = 0.0; flying_speed <= 15.83; countermeasure = 0.0; flying_speed <= 27.56; threat_range <= 20104.47; countermeasure = 0.0; flying_speed <= 15.83; threat_range <= 20104.47; threat_range > 10398.43; countermeasure = 0.0; flying_speed <= 15.83; flying_speed <= 15.83; flying_speed <= 15.83,11,1,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0
14,#threats <= 53.00; #threats <= 53.00; #threats <= 26.00; day_time > 12.00,5,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
