sample_index,rules,n_satisfied_reqs,pred_req_0,real_req_0,pred_req_1,real_req_1,pred_req_2,real_req_2,pred_req_3,real_req_3
0,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; 31.00 < b'power' <= 76.75; b'controls responsiveness' > 60.79; b'controls responsiveness' > 60.79; 51.10 < b'obstacle distance' <= 72.25; b'illuminance' > 36.76; 26.12 < b'obstacle size' <= 75.32; 36.34 < b'image resolution' <= 80.15; 31.00 < b'power' <= 76.75; b'firm obstacle' = 1.0; b'illuminance' > 56.79; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'image resolution' > 36.34; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 60.79; b'image resolution' > 36.34; b'illuminance' > 36.76,4,1,1,1,1,1,1,1,1
2,b'firm obstacle' = 1.0; b'smoke intensity' <= 67.44; b'cruise speed' <= 57.30; b'power' > 76.75; b'illuminance' <= 79.46; b'cruise speed' <= 36.77; b'power' > 76.75; b'smoke intensity' <= 22.73; 30.09 < b'obstacle distance' <= 51.10; b'illuminance' > 36.76; b'image resolution' <= 80.15; b'obstacle size' <= 50.21; b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 50.21; b'obstacle distance' > 30.09; b'illuminance' > 36.76; b'smoke intensity' <= 45.55; b'firm obstacle' = 1.0; b'obstacle size' <= 26.12; b'cruise speed' <= 36.77; b'illuminance' > 36.76; b'obstacle distance' > 30.09,4,1,1,1,1,1,1,1,1
3,22.73 < b'smoke intensity' <= 67.44; b'obstacle size' > 50.21; 36.76 < b'illuminance' <= 79.46; b'cruise speed' <= 18.23; b'obstacle distance' <= 30.09; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; 26.12 < b'obstacle size' <= 75.32; b'smoke intensity' <= 67.44; 36.76 < b'illuminance' <= 79.46; b'obstacle distance' <= 51.10; b'power' <= 76.75,2,1,1,1,1,0,0,0,0
6,b'illuminance' > 79.46; b'smoke intensity' <= 67.44; b'image resolution' > 36.34; b'obstacle size' > 26.12; b'obstacle distance' <= 72.25; b'cruise speed' <= 36.77; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; 30.09 < b'obstacle distance' <= 72.25; b'illuminance' > 79.46,2,1,1,1,1,0,0,0,0
9,b'firm obstacle' = 1.0; b'obstacle size' > 26.12; 18.23 < b'cruise speed' <= 36.77; b'cruise speed' <= 36.77; b'controls responsiveness' > 38.48; b'illuminance' > 79.46; b'image resolution' > 58.97; b'obstacle size' <= 75.32; b'obstacle distance' <= 72.25; b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 50.21; b'illuminance' > 56.79; b'controls responsiveness' > 38.48; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 38.48; b'image resolution' > 58.97; b'illuminance' > 56.79,4,1,1,1,1,1,1,1,1
15,b'image resolution' > 58.97; b'illuminance' > 56.79; b'smoke intensity' <= 67.44; b'obstacle size' > 50.21; b'cruise speed' <= 36.77; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 60.79; b'smoke intensity' <= 67.44,2,1,1,1,1,0,0,0,0
16,b'firm obstacle' = 1.0; b'obstacle size' > 26.12; b'cruise speed' <= 36.77; b'image resolution' > 58.97; b'cruise speed' <= 36.77; b'controls responsiveness' > 38.48; b'image resolution' > 80.15; b'illuminance' > 56.79; b'power' > 76.75; b'obstacle size' <= 75.32; b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 75.32; b'obstacle distance' > 30.09; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'image resolution' > 58.97; b'obstacle size' <= 50.21; b'cruise speed' <= 36.77; b'controls responsiveness' > 38.48,4,1,1,1,1,1,1,1,1
24,b'smoke intensity' <= 22.73; b'image resolution' > 58.97; b'obstacle size' > 26.12; b'obstacle distance' <= 30.09; b'power' > 76.75; b'firm obstacle' = 0.0; b'controls responsiveness' > 38.48; b'cruise speed' <= 57.30; b'obstacle distance' <= 72.25; b'smoke intensity' <= 22.73,2,1,1,1,1,0,0,0,0
25,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; b'cruise speed' <= 57.30; b'power' > 31.00; b'illuminance' > 36.76; b'firm obstacle' = 1.0; 18.23 < b'cruise speed' <= 57.30; b'obstacle distance' > 72.25; b'illuminance' > 36.76; 58.97 < b'image resolution' <= 80.15; 31.00 < b'power' <= 76.75; b'firm obstacle' = 1.0; b'image resolution' > 58.97; b'illuminance' > 36.76; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09,3,1,1,0,0,1,1,1,1
28,b'smoke intensity' <= 22.73; b'illuminance' > 56.79; b'image resolution' > 58.97; b'obstacle size' > 50.21; b'power' > 76.75; b'firm obstacle' = 0.0; b'cruise speed' <= 18.23; b'controls responsiveness' > 81.26,2,1,1,1,1,0,1,0,0
29,b'firm obstacle' = 1.0; b'obstacle size' > 50.21; b'smoke intensity' <= 67.44; b'illuminance' > 36.76; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'illuminance' > 36.76; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 75.32; b'controls responsiveness' > 38.48; b'illuminance' > 36.76; b'cruise speed' <= 57.30,3,1,1,0,0,1,1,1,1
34,b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; b'illuminance' > 56.79; b'obstacle size' > 75.32; b'controls responsiveness' <= 81.26; b'cruise speed' <= 57.30; 38.48 < b'controls responsiveness' <= 81.26; b'illuminance' > 79.46; b'obstacle distance' > 30.09; b'image resolution' > 58.97; b'obstacle size' > 75.32; b'smoke intensity' > 22.73; b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; 38.48 < b'controls responsiveness' <= 81.26; b'image resolution' > 58.97; b'illuminance' > 36.76; b'firm obstacle' = 1.0; 38.48 < b'controls responsiveness' <= 60.79; b'illuminance' > 36.76; b'image resolution' > 58.97; b'cruise speed' <= 57.30; b'power' <= 76.75; b'obstacle distance' > 30.09,4,1,0,1,1,1,1,1,1
35,b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'controls responsiveness' > 81.26; b'obstacle distance' > 30.09; b'controls responsiveness' > 81.26; b'illuminance' > 79.46; b'obstacle distance' > 72.25; b'image resolution' > 80.15; b'obstacle size' <= 75.32; 18.23 < b'cruise speed' <= 36.77; b'power' > 31.00,2,0,0,1,1,1,1,0,0
36,b'smoke intensity' <= 22.73; b'illuminance' > 56.79; b'image resolution' > 58.97; b'obstacle distance' <= 30.09; b'cruise speed' <= 57.30; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'illuminance' > 56.79; b'obstacle distance' <= 72.25,2,1,1,1,1,0,0,0,0
37,b'firm obstacle' = 1.0; b'smoke intensity' <= 67.44; b'obstacle size' > 26.12; b'power' > 53.00; b'cruise speed' <= 57.30; b'controls responsiveness' > 38.48; b'smoke intensity' <= 22.73; 30.09 < b'obstacle distance' <= 72.25; b'power' > 53.00; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; 60.79 < b'controls responsiveness' <= 81.26; b'image resolution' > 58.97; b'obstacle distance' > 30.09; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 60.79; b'power' > 53.00; b'obstacle distance' > 30.09; b'image resolution' > 58.97,4,1,1,1,1,1,1,1,1
38,b'firm obstacle' = 1.0; b'cruise speed' <= 57.30; b'smoke intensity' <= 67.44; b'obstacle size' > 26.12; b'power' > 31.00; b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' <= 50.21; b'controls responsiveness' > 60.79; b'image resolution' > 36.34; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'controls responsiveness' > 60.79; b'cruise speed' <= 36.77; b'image resolution' > 36.34,3,1,1,0,0,1,1,1,1
39,b'smoke intensity' <= 45.55; b'obstacle size' > 50.21; b'illuminance' > 36.76; b'obstacle distance' <= 30.09; b'power' > 76.75; b'cruise speed' <= 36.77; b'controls responsiveness' > 60.79; b'cruise speed' <= 18.23; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'power' > 76.75; b'controls responsiveness' > 60.79; b'smoke intensity' <= 22.73; b'illuminance' > 36.76; b'cruise speed' <= 36.77,3,1,1,1,1,0,0,1,1
40,b'firm obstacle' = 1.0; b'obstacle size' > 26.12; b'cruise speed' <= 57.30; b'smoke intensity' <= 67.44; b'firm obstacle' = 1.0; b'controls responsiveness' > 38.48; b'obstacle size' <= 75.32; b'obstacle distance' > 30.09; b'illuminance' > 36.76; b'cruise speed' <= 57.30; b'firm obstacle' = 1.0; b'controls responsiveness' > 38.48; b'obstacle size' <= 50.21; b'illuminance' > 56.79; b'cruise speed' <= 57.30,3,1,1,0,0,1,0,1,1
41,b'firm obstacle' = 1.0; b'cruise speed' <= 36.77; b'obstacle size' > 26.12; b'obstacle distance' <= 51.10; b'power' > 31.00; b'firm obstacle' = 1.0; b'obstacle size' <= 50.21; b'cruise speed' <= 36.77; b'image resolution' > 58.97; b'obstacle distance' > 30.09,2,1,1,0,0,0,1,1,1
44,b'illuminance' > 79.46; b'image resolution' > 80.15; 22.73 < b'smoke intensity' <= 67.44; b'power' > 31.00; b'obstacle distance' <= 51.10; b'cruise speed' <= 57.30; b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'illuminance' > 56.79,2,1,1,1,1,0,0,0,0
45,b'firm obstacle' = 0.0; b'controls responsiveness' > 60.79; b'cruise speed' <= 57.30; b'obstacle distance' > 30.09; b'controls responsiveness' > 81.26; b'obstacle size' <= 26.12; 56.79 < b'illuminance' <= 79.46; b'image resolution' > 58.97; b'obstacle distance' > 51.10; b'cruise speed' <= 57.30; b'power' > 53.00,2,0,0,1,1,0,0,1,1
46,b'obstacle size' > 50.21; b'smoke intensity' <= 45.55; b'illuminance' > 56.79; b'image resolution' > 36.34; b'obstacle distance' <= 72.25; b'firm obstacle' = 0.0; b'cruise speed' <= 36.77; b'controls responsiveness' > 81.26; b'obstacle distance' > 30.09,2,1,1,1,1,0,0,0,0
