sample_index,rules,n_satisfied_reqs,pred_req_0,real_req_0,pred_req_1,real_req_1,pred_req_2,real_req_2,pred_req_3,real_req_3,pred_req_4,real_req_4,pred_req_5,real_req_5,pred_req_6,real_req_6,pred_req_7,real_req_7,pred_req_8,real_req_8,pred_req_9,real_req_9,pred_req_10,real_req_10,pred_req_11,real_req_11
38,#threats > 74.00; flying_speed <= 16.92; countermeasure = 0.0; formation = 1.0; threat_range > 30101.55; day_time > 18.00,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,flying_speed > 16.92; 16.92 < flying_speed <= 38.71; day_time <= 11.50; countermeasure = 1.0; threat_range <= 30101.55; #threats > 25.00,3,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58,threat_range <= 10893.09; day_time <= 6.00; flying_speed <= 16.92; formation = 1.0; weather = 3.0; flying_speed <= 16.92; threat_range <= 10893.09; flying_speed <= 28.09; day_time <= 18.00; countermeasure = 0.0; weather = 3.0; formation = 1.0; flying_speed <= 16.92; threat_range <= 20336.87; countermeasure = 0.0; flying_speed <= 16.92; threat_range <= 10893.09; weather = 3.0; #threats <= 74.00,6,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
67,threat_range > 10893.09; weather = 1.0; #threats > 74.00; weather = 1.0; day_time <= 18.00,3,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87,threat_range <= 10893.09; formation = 0.0; 16.92 < flying_speed <= 28.09; weather = 1.0; #threats > 74.00; countermeasure = 1.0; #threats > 74.00; threat_range <= 10893.09; flying_speed <= 28.09; day_time <= 6.00; formation = 0.0; #threats > 50.00; weather = 1.0,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
117,#threats > 50.00; flying_speed <= 16.92; threat_range <= 30101.55; #threats > 50.00,3,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
139,formation = 1.0; flying_speed <= 16.92; countermeasure = 0.0; #threats > 74.00; day_time > 6.00; #threats > 74.00; flying_speed <= 16.92; countermeasure = 0.0; flying_speed <= 16.92; #threats > 74.00; threat_range > 20336.87; countermeasure = 0.0; day_time > 11.50; day_time > 6.00; flying_speed <= 28.09; threat_range > 20336.87; countermeasure = 0.0; flying_speed <= 16.92; #threats > 74.00; day_time > 11.50,6,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
155,6.00 < day_time <= 11.50; countermeasure = 0.0; threat_range <= 10893.09; weather = 1.0; flying_speed <= 38.71,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,day_time <= 11.50; countermeasure = 0.0; threat_range > 30101.55; #threats > 50.00; countermeasure = 0.0; #threats <= 74.00; countermeasure = 0.0; day_time <= 11.50; formation = 1.0; day_time <= 6.00; countermeasure = 0.0; formation = 1.0; #threats > 25.00; threat_range > 20336.87; countermeasure = 0.0; #threats > 25.00; flying_speed > 38.71; day_time <= 18.00,6,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
207,flying_speed <= 16.92; threat_range > 30101.55; countermeasure = 0.0; #threats > 25.00; day_time > 11.50; flying_speed <= 16.92; formation = 1.0; countermeasure = 0.0; threat_range > 30101.55; #threats > 25.00; day_time > 18.00,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
208,threat_range <= 10893.09; day_time <= 18.00; flying_speed <= 38.71,2,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
209,10893.09 < threat_range <= 20336.87; 25.00 < #threats <= 50.00; weather = 2.0; countermeasure = 0.0; 6.00 < day_time <= 11.50; formation = 1.0; flying_speed > 38.71; 10893.09 < threat_range <= 20336.87; countermeasure = 0.0; formation = 1.0; #threats > 25.00; day_time <= 18.00; #threats <= 50.00; countermeasure = 0.0; 10893.09 < threat_range <= 20336.87; 6.00 < day_time <= 18.00; formation = 1.0; countermeasure = 0.0; weather = 2.0; 10893.09 < threat_range <= 30101.55; day_time <= 18.00; weather = 2.0; countermeasure = 0.0,6,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1
236,flying_speed <= 16.92; countermeasure = 0.0; threat_range <= 10893.09; #threats > 50.00; 6.00 < day_time <= 11.50; flying_speed <= 16.92; countermeasure = 0.0; #threats > 50.00; threat_range <= 10893.09; formation = 0.0; day_time <= 11.50; flying_speed <= 16.92; countermeasure = 0.0; #threats > 50.00; day_time > 6.00; threat_range <= 20336.87,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
265,flying_speed <= 28.09; #threats > 50.00; threat_range > 10893.09; #threats > 74.00; flying_speed <= 16.92; day_time > 11.50; countermeasure = 0.0,3,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
273,day_time > 11.50; countermeasure = 0.0; threat_range > 30101.55; #threats > 74.00; 6.00 < day_time <= 18.00; weather = 1.0; #threats > 74.00; countermeasure = 0.0; threat_range > 30101.55; formation = 1.0; day_time > 11.50,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
290,day_time <= 11.50; weather = 1.0; flying_speed > 38.71; weather = 1.0; day_time <= 18.00; countermeasure = 0.0; threat_range > 10893.09; weather = 1.0; threat_range > 30101.55; formation = 0.0,4,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
