cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
56.819,80.1198,65.4041,56.311,33.0,65.3457,0.5072,99.9013,0.0,0.0,0.0,0.0,1.0
39.394,45.3802,82.6298,80.5818,84.0,76.2841,68.3271,76.4583,1.0,1.0,1.0,1.0,1.0
53.6443,51.728,96.4872,48.1127,98.0,1.1537,91.3347,90.636,0.0,1.0,1.0,0.0,1.0
46.9518,59.4329,73.2924,86.4789,39.0,75.8396,4.861,29.6172,1.0,0.0,1.0,1.0,1.0
75.456,9.3052,38.7149,75.736,99.0,70.9141,43.1941,26.9,1.0,0.0,0.0,0.0,0.0
78.2345,73.4075,84.4222,41.2119,22.0,24.5417,69.8536,55.531,1.0,0.0,1.0,1.0,1.0
39.0377,90.9664,54.8932,81.8418,29.0,54.2651,19.9217,11.3526,1.0,1.0,1.0,1.0,1.0
17.6707,19.177,44.7046,64.6934,69.0,3.1994,21.132,39.7749,0.0,1.0,1.0,0.0,0.0
10.3823,73.6039,16.3563,45.4349,64.0,55.125,52.3863,60.9854,1.0,1.0,0.0,1.0,1.0
10.5161,90.5303,89.0919,92.2325,32.0,62.6123,66.7466,48.1726,0.0,0.0,1.0,0.0,1.0
21.7289,26.2606,50.8713,33.6711,62.0,56.1701,59.5806,38.594,1.0,1.0,1.0,1.0,1.0
8.9882,99.1382,68.9779,93.557,85.0,30.6278,73.583,56.039,0.0,1.0,1.0,0.0,1.0
69.5157,87.2869,86.8876,53.3515,40.0,14.8039,19.3224,16.25,1.0,1.0,1.0,1.0,1.0
46.1065,91.0053,70.6983,36.44,87.0,10.8217,95.5249,79.0723,0.0,1.0,1.0,0.0,0.0
32.5609,77.726,15.1029,78.6427,84.0,61.5621,21.7431,88.5062,0.0,0.0,1.0,0.0,0.0
45.3306,99.9369,15.5793,97.233,65.0,21.1909,96.5799,47.417,1.0,1.0,0.0,0.0,0.0
81.072,53.097,47.2704,39.9084,91.0,35.0847,75.7219,5.7757,0.0,0.0,0.0,0.0,0.0
61.0097,74.467,58.9831,85.4224,23.0,73.2655,85.1643,56.8518,1.0,1.0,0.0,1.0,1.0
32.4824,56.6181,62.2821,60.8915,94.0,45.0774,93.7168,57.4328,0.0,1.0,1.0,0.0,0.0
67.2921,39.0903,55.1494,92.1865,95.0,23.806,91.3896,41.5288,1.0,1.0,0.0,0.0,1.0
79.1076,43.0306,89.7844,90.2445,89.0,99.8543,46.2138,53.9668,1.0,0.0,0.0,0.0,0.0
32.3579,63.0838,23.0349,43.8208,28.0,88.1559,13.6925,73.7589,0.0,0.0,1.0,0.0,0.0
18.3055,50.7762,31.4406,71.0357,34.0,58.4082,84.8343,64.0382,0.0,1.0,1.0,0.0,0.0
21.4121,54.3743,78.6631,52.4313,28.0,70.9213,8.6031,77.9303,1.0,1.0,0.0,1.0,1.0
72.2626,88.6675,60.2498,81.2714,67.0,77.3527,29.5165,21.9567,0.0,0.0,1.0,0.0,0.0
4.4159,14.9245,11.8523,36.4326,40.0,25.0826,20.7729,67.1756,1.0,1.0,1.0,0.0,0.0
23.1198,42.9976,87.2011,34.997,59.0,46.054,85.2811,64.5628,0.0,1.0,1.0,0.0,0.0
13.3554,44.1426,76.8506,93.0475,39.0,21.8751,18.9654,8.7166,0.0,0.0,1.0,0.0,0.0
4.7753,70.0877,92.8395,48.878,25.0,47.6486,95.7085,59.6331,0.0,1.0,1.0,0.0,0.0
43.7654,94.1567,11.2516,44.4312,16.0,10.1864,19.4684,20.2308,0.0,0.0,1.0,0.0,0.0
34.8757,96.2454,96.8138,90.9379,13.0,14.7604,29.3335,27.512,0.0,0.0,1.0,0.0,0.0
0.7554,66.8295,68.2838,86.4385,85.0,79.0994,86.9701,80.6796,0.0,1.0,1.0,0.0,0.0
11.8437,46.2483,25.4227,75.3654,74.0,84.0014,11.0737,87.7672,1.0,0.0,0.0,1.0,1.0
23.9727,94.2012,18.5487,95.0813,65.0,73.1233,71.6743,76.3693,0.0,0.0,1.0,0.0,0.0
17.2269,58.0177,89.7227,78.0089,46.0,66.9501,77.1527,9.5615,1.0,1.0,1.0,1.0,0.0
50.7103,33.1097,67.5471,93.736,35.0,1.6676,68.1772,12.6952,1.0,1.0,0.0,0.0,1.0
42.4845,96.3173,29.6977,67.4707,66.0,81.1434,96.435,51.3514,0.0,0.0,1.0,0.0,0.0
6.6332,42.0949,97.0356,78.8826,78.0,31.0749,56.0286,76.5537,1.0,1.0,1.0,1.0,1.0
