,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
0,"[15.30998703 95.50244243 98.38861112 47.5789     78.         40.0711
 77.4101     53.2349      0.        ]","[ 5.14887475 94.96598788 96.96117273 47.5789     78.         40.0711
 77.4101     53.2349      0.        ]",[15.249  69.1321 98.4759 47.5789 78.     40.0711 77.4101 53.2349  0.    ],[15.249  61.9446 92.4999 47.5789 78.     40.0711 77.4101 53.2349  0.    ],[0.79039308 0.99       0.43803954 0.29443553],[0.80025088 0.98       0.2593603  0.29443553],[0.79039308 0.99       0.37457972 0.29443553],[0.79039308 0.98       0.23307889 0.24982146],73.84003347645842,65.64281414141414,100.06209999999999,113.22559999999999,-8.19721933504428,34.41928585858585,26.22206652354157,-13.163499999999999,-0.11101321260448382,0.5243420214196862,0.355119916513874,-0.11625904389113417,5.453455448150635,0.23929071426391602,1.8237900733947754,0.552849292755127,22.790083873191865,2.99017717428391,0.1312051851551664,0.30313208785376355,60,10
1,"[ 0.52035005 99.9772294  99.41016476 31.4483     82.          4.1353
 29.0124     75.2349      0.        ]","[15.22282424 96.96598788 97.96868182 31.4483     82.          4.1353
 29.0124     75.2349      0.        ]",[15.249  99.25   82.744  31.4483 82.      4.1353 29.0124 75.2349  0.    ],[15.249  62.125  59.124  31.4483 82.      4.1353 29.0124 75.2349  0.    ],[0.75462562 0.86       0.37128818 0.55088027],[0.74323862 0.93       0.34337787 0.30239556],[0.74323862 0.91       0.15614339 0.43252827],[0.64087144 0.96       0.10738051 0.28483516],69.68465589018581,88.8398545454545,101.80669999999998,162.5517,19.15519865526869,12.966845454545478,32.12204410981417,-60.74500000000003,0.27488402447527127,0.14595752684298974,0.46096294369931945,-0.37369649163927554,5.75070858001709,0.1700284481048584,1.6451947689056396,0.5522477626800537,33.822037689072864,3.495457613108252,0.10334852220443111,0.33567318175184885,72,10
2,"[47.2501903  43.33479213 60.25514365 55.5832     70.         52.7543
 59.0778     14.5384      1.        ]","[ 0.1119     66.76269091 98.97619091 55.5832     70.         52.7543
 59.0778     14.5384      1.        ]",[45.9487 42.1041 82.976  55.5832 70.     52.7543 59.0778 14.5384  1.    ],[50.708  91.91   91.984  55.5832 70.     52.7543 59.0778 14.5384  1.    ],[0.96006719 0.8        0.93836827 0.86816615],[0.97578643 0.79       0.97067579 0.91468347],[[0.95694299 0.8        0.90515168 0.86816615]],[0.96648986 0.79       0.94194906 0.91884516],188.07705451715125,78.78981818181819,165.2854,111.23080000000004,-109.28723633533306,86.49558181818182,-22.791654517151244,54.054599999999965,-0.5810769241144558,1.0978015156549992,-0.12118253646445112,0.485967915361572,64.9336428642273,0.4001641273498535,0.356309175491333,1.4236371517181396,162.26752581312076,182.23960349796482,1.123081174651331,3.995510780083093,6,72
3,"[56.6934618  69.14018144 42.56451568 54.3073     47.         41.8471
 27.4295     63.7486      1.        ]","[18.14887475 84.5334     65.984      54.3073     47.         41.8471
 27.4295     63.7486      1.        ]",[16.1245 94.5959 82.976  54.3073 47.     41.8471 27.4295 63.7486  1.    ],[16.1605 94.5849 86.984  54.3073 47.     41.8471 27.4295 63.7486  1.    ],[0.96345642 0.8        0.85631727 0.9398902 ],[0.96345642 0.8        0.94721333 0.95048094],[[0.96345642 0.82       0.95058292 0.95048094]],[0.96345642 0.8        0.95058292 0.95048094],190.6814646688474,113.32417474747479,84.24529999999999,80.28430000000003,-77.35728992137263,-29.0788747474748,-106.43616466884743,3.960999999999956,-0.4056885657749559,-0.25659904263386457,-0.5581883108234612,0.049337168039080545,62.44563961029053,10.697219133377075,0.3220806121826172,0.3825662136077881,5.837558231881958,193.882019743816,33.21286264605035,1.187796468142814,6,6
4,"[14.76553354 98.22854219 99.42943084 71.0079     86.         71.6081
  6.0699     47.5072      0.        ]","[15.22282424 97.97445859 98.97619091 71.0079     86.         71.6081
  6.0699     47.5072      0.        ]","[  4.743  100.     100.      71.0079  86.      71.6081   6.0699  47.5072
   0.    ]",[15.249  78.915  83.2797 71.0079 86.     71.6081  6.0699 47.5072  0.    ],[0.24249031 0.91       0.42117389 0.40556133],[0.24249031 0.92       0.42117389 0.40556133],[0.18709692 0.89       0.32925656 0.40556133],[0.08696315 0.98       0.22995712 0.39053636],46.09966051399664,47.26427474747476,33.73509999999999,82.0464,1.1646142334781189,-13.52917474747477,-12.36456051399665,-48.31130000000002,0.025262967676834024,-0.28624526282819157,-0.268213699973833,-0.5888290040757427,5.616472244262695,0.18566226959228516,2.5498180389404297,0.5854654312133789,30.251015764250234,2.2026953133473812,0.0728139289772366,0.22961067114289754,114,9
5,"[49.39657534 69.32419616 33.45998461 70.1467     85.         63.797
 56.6518     41.608       1.        ]","[51.22282424 41.85586869 94.97619091 70.1467     85.         63.797
 56.6518     41.608       1.        ]",[ 7.4975 37.4702 84.0923 70.1467 85.     63.797  56.6518 41.608   1.    ],[12.4975 81.985  83.1003 70.1467 85.     63.797  56.6518 41.608   1.    ],[0.96648986 0.8        0.82274455 0.92975427],[0.95284732 0.8        0.85640715 0.91152402],[[0.93785554 0.85       0.83270953 0.89548493]],[0.96648986 0.89       0.9293159  0.9420207 ],176.46569456997213,144.2440646464646,115.78829999999999,77.26549999999997,-32.22162992350752,-28.455764646464615,-60.67739456997214,38.52280000000002,-0.1825942997137668,-0.19727511642304557,-0.34384810440259456,0.49857698455326155,68.40588760375977,28.450000762939453,0.3107719421386719,0.18604612350463867,2.404424807357793,220.11603471344225,91.54623344421668,0.5986580455890115,6,0
6,"[ 4.45889559 41.0378588  35.19825173 35.5858     89.         31.4358
 88.8059     15.01        1.        ]","[19.14887475 83.93210505 95.97619091 35.5858     89.         31.4358
 88.8059     15.01        1.        ]",[18.476  98.1925 63.6009 35.5858 89.     31.4358 88.8059 15.01    1.    ],[33.164  79.915  58.6009 35.5858 89.     31.4358 88.8059 15.01    1.    ],[0.96847796 0.8        0.85063487 0.82978375],[0.97074839 0.8        0.80491216 0.8564019 ],[0.97074839 0.8        0.81190513 0.86006132],[0.97074839 0.77       0.75267302 0.8366322 ],192.63698506315018,103.6547787878788,121.09680000000003,159.0623,-88.98220627527138,17.442021212121233,-71.54018506315015,-37.96549999999996,-0.46191652265581956,0.16827030471807702,-0.3713730519593518,-0.2386832077745636,62.969024658203125,4.697252988815308,1.8488917350769043,1.039027452468872,13.405499939675279,34.05771331201496,2.5405776334545225,0.5619731176015311,66,23
7,"[ 0.33315052 98.05729856 98.42984878 85.2057     47.         38.8494
 86.7224     22.8551      0.        ]","[16.0224     53.743      98.97619091 85.2057     47.         38.8494
 86.7224     22.8551      0.        ]",[11.0224 63.6425 97.856  85.2057 47.     38.8494 86.7224 22.8551  0.    ],[16.0224 53.743  81.984  85.2057 47.     38.8494 86.7224 22.8551  0.    ],[0.8322667  0.87       0.31548733 0.11921916],[0.87519323 0.95       0.12916957 0.07842378],[0.82364071 0.97       0.11682385 0.11129559],[0.84207343 0.98       0.04471127 0.07842378],18.640303178069075,78.09750909090911,64.31819999999999,95.08970000000005,59.45720591284004,-13.779309090909123,45.677896821930915,-30.77150000000006,3.1897123853003304,-0.17643724174185083,2.4504910883462694,-0.32360497509194,6.985582590103149,0.4126412868499756,3.708879232406616,0.7212512493133545,16.92894727871209,1.883475344536993,0.11125767677860492,0.19446609180783414,180,16
8,"[ 3.97473711 94.57520897 69.68181615 61.2271     66.         92.9079
 10.657      41.414       1.        ]","[15.22282424 83.85586869 98.97619091 61.2271     66.         92.9079
 10.657      41.414       1.        ]",[29.5877 89.5484 67.7409 61.2271 66.     92.9079 10.657  41.414   1.    ],[35.5982 94.2814 55.0389 61.2271 66.     92.9079 10.657  41.414   1.    ],[0.10655926 0.67       0.88739693 0.83874756],[0.1286437  0.62       0.91854742 0.84705037],[[0.10092894 0.63       0.85296509 0.83874756]],[0.09633754 0.64       0.84461967 0.85140017],78.49061199158837,71.16366464646461,111.07130000000001,125.05080000000004,-7.326947345123756,39.9076353535354,32.58068800841164,-13.97950000000003,-0.09334807258107461,0.5607866816835998,0.41509025323822457,-0.11179056831303778,5.988145112991333,0.16283226013183594,5.713061571121216,3.35992693901062,36.774930889880636,1.0481499347496321,0.02850175131227919,0.5881132029093847,252,102
9,"[  4.3433476   98.42903224  96.10637505  26.5669     100.
  83.1226      18.4308      88.1734       1.        ]","[  0.1119      99.9914      98.97619091  26.5669     100.
  83.1226      18.4308      88.1734       1.        ]","[ 13.4966  85.745   95.3312  26.5669 100.      83.1226  18.4308  88.1734
   1.    ]","[ 12.6211  78.915   82.9592  26.5669 100.      83.1226  18.4308  88.1734
   1.    ]",[0.8383828  0.78       0.89877792 0.96516107],[0.8383828  0.69       0.95649834 0.96516107],[0.81663116 0.76       0.86462768 0.93389753],[0.81663116 0.53       0.85777034 0.92991913],83.24104031555134,74.5774090909091,105.85350000000005,124.18,-8.663631224642245,31.276090909090954,22.61245968444871,-18.326499999999953,-0.10407884370257779,0.4193775473074657,0.27165037340630377,-0.14758012562409367,5.583572864532471,0.16444897651672363,35.755908250808716,0.48104429244995117,33.953223563934124,0.15615804877243422,0.0045992112789640625,0.013453560991254391,1002,9
