cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
3.2045,33.6857,82.6363,69.2764,50.0,40.8936,84.0546,95.5551,0.0,0.0,0.0,0.0,0.0
85.5496,64.2178,21.6158,23.3105,20.0,78.3051,17.2836,60.7479,1.0,0.0,0.0,0.0,1.0
34.2777,47.3137,56.4869,81.4875,17.0,75.6085,42.967,63.2702,0.0,0.0,1.0,0.0,1.0
52.1894,97.6619,21.0036,30.7234,85.0,65.7392,96.4416,54.7805,0.0,0.0,1.0,0.0,0.0
26.4861,58.2656,83.5136,16.3676,24.0,4.6684,41.3635,74.7055,1.0,1.0,0.0,0.0,1.0
87.5583,87.7938,92.9967,44.005,12.0,82.2462,38.8665,14.6377,0.0,0.0,0.0,0.0,0.0
16.0246,16.9928,10.2423,21.4346,75.0,74.9592,6.6086,22.6785,0.0,0.0,0.0,0.0,0.0
70.4276,20.8175,51.6775,87.5963,99.0,24.5397,99.9874,65.7672,0.0,0.0,1.0,0.0,0.0
16.0111,66.7958,99.371,67.228,31.0,85.3395,30.8448,43.1683,0.0,0.0,1.0,0.0,0.0
98.4796,4.0768,52.8853,73.9044,2.0,29.8411,10.5942,53.3787,1.0,0.0,0.0,0.0,0.0
56.6364,6.2302,64.5889,60.3652,51.0,73.5059,52.8552,79.2856,1.0,0.0,0.0,0.0,0.0
56.7617,66.5544,77.3775,60.8771,81.0,84.047,6.5986,60.3268,0.0,0.0,1.0,0.0,1.0
54.7777,40.3099,87.3416,13.7778,43.0,21.4291,43.4365,54.8343,1.0,1.0,0.0,0.0,1.0
47.1974,8.4067,14.1042,22.9743,24.0,31.3755,46.563,15.5407,1.0,0.0,0.0,0.0,0.0
9.4922,79.1021,93.9181,71.9313,98.0,9.8923,39.4139,13.0674,0.0,1.0,1.0,1.0,0.0
15.8199,81.8564,36.8843,75.3588,87.0,9.7022,16.8133,26.3829,0.0,1.0,1.0,0.0,0.0
55.839,11.9445,8.6551,93.3472,13.0,81.2085,13.325,90.1732,0.0,0.0,0.0,0.0,0.0
7.8977,16.1493,45.8692,58.3512,65.0,67.2469,8.3179,71.6704,0.0,0.0,1.0,0.0,0.0
91.9118,2.295,40.3243,66.3315,47.0,5.8439,54.0211,87.4789,1.0,0.0,0.0,0.0,0.0
96.7163,6.1285,66.1437,43.4463,82.0,96.1527,52.5858,89.3862,0.0,0.0,0.0,0.0,0.0
21.2333,45.2306,76.1547,85.9632,26.0,8.28,68.4259,14.6996,1.0,1.0,1.0,1.0,1.0
17.0612,59.9986,67.5577,64.7392,46.0,3.6185,84.8951,90.5848,0.0,0.0,1.0,0.0,0.0
45.1749,92.5101,41.8802,91.6582,82.0,62.5729,79.4447,32.69,0.0,0.0,1.0,0.0,0.0
19.7604,26.8159,47.0082,6.3458,36.0,35.1641,9.2745,22.8247,1.0,1.0,0.0,0.0,0.0
61.1338,5.5482,91.3682,56.9724,71.0,97.7892,21.4058,98.4632,1.0,0.0,0.0,0.0,0.0
93.4163,43.3603,96.7347,57.0625,69.0,30.791,3.9937,88.6832,0.0,0.0,0.0,0.0,0.0
64.1257,88.2016,17.2606,40.3963,53.0,64.7695,25.9527,51.5346,0.0,0.0,1.0,0.0,0.0
32.3831,95.3797,94.2066,77.7837,42.0,67.7128,36.8217,79.4941,0.0,0.0,1.0,0.0,1.0
47.6403,94.4947,65.3907,80.8391,99.0,15.9947,65.3406,34.0114,1.0,1.0,0.0,1.0,1.0
1.2063,38.0062,64.3547,89.5041,84.0,35.9105,50.4013,51.5402,0.0,1.0,1.0,1.0,0.0
99.1149,4.6557,79.6047,47.3815,88.0,24.9077,85.9043,96.595,1.0,0.0,0.0,0.0,0.0
16.2653,24.6901,88.6274,92.9826,90.0,73.5026,88.4318,69.9106,1.0,1.0,1.0,1.0,1.0
15.3906,8.3894,65.5749,32.1719,0.0,99.4145,59.972,99.407,0.0,0.0,0.0,0.0,1.0
65.7133,91.7797,20.1999,77.3346,72.0,54.3951,49.0154,85.0493,0.0,0.0,1.0,0.0,0.0
7.6426,89.6866,85.8441,76.536,78.0,61.2281,97.4187,76.1409,1.0,1.0,1.0,0.0,0.0
18.2593,48.9518,22.8555,82.5996,86.0,88.9639,83.0253,27.1028,0.0,0.0,1.0,0.0,0.0
18.8109,82.4171,92.2581,93.6358,71.0,85.494,85.9512,35.3026,1.0,1.0,1.0,0.0,1.0
7.8308,48.1344,60.3198,45.5092,78.0,99.7283,80.2816,33.5033,0.0,0.0,0.0,1.0,0.0
26.1825,64.2569,87.848,76.6604,61.0,46.9587,24.1963,57.3303,0.0,1.0,1.0,0.0,0.0
34.3026,0.9694,53.091,15.5375,12.0,41.0899,64.2288,31.0418,1.0,0.0,0.0,0.0,0.0
16.7352,52.8544,57.9498,81.2614,81.0,84.7942,30.2919,36.5378,1.0,1.0,1.0,1.0,1.0
49.2196,59.2022,56.749,66.2557,9.0,75.3547,75.0687,62.3816,0.0,0.0,1.0,0.0,0.0
18.1514,19.9089,86.0565,44.2418,55.0,25.0131,28.4611,49.7925,0.0,0.0,1.0,0.0,0.0
3.364,11.424,27.8093,54.5784,50.0,17.0448,48.3754,17.2051,1.0,1.0,0.0,0.0,0.0
54.7202,15.6568,95.1671,11.9978,69.0,41.3673,92.9872,58.4645,0.0,0.0,0.0,0.0,0.0
88.8287,91.9905,34.3068,47.2804,94.0,73.0435,17.2808,87.0866,0.0,0.0,0.0,0.0,0.0
16.6881,91.129,52.392,85.0347,42.0,18.1736,80.4846,44.2358,1.0,1.0,0.0,1.0,1.0
51.5359,48.2058,55.7848,75.2762,91.0,47.0792,7.3198,33.3109,0.0,0.0,1.0,0.0,0.0
44.3396,75.8663,41.8161,77.8439,6.0,26.1727,6.0386,37.8218,1.0,0.0,0.0,1.0,1.0
41.9151,37.6462,77.3986,60.9735,21.0,34.0454,41.2611,72.4624,0.0,0.0,1.0,0.0,0.0
28.9973,59.783,27.285,48.3519,98.0,47.4733,71.2347,71.0766,1.0,1.0,1.0,1.0,1.0
51.8375,33.0834,31.0784,60.4287,43.0,63.7314,56.0894,70.9812,0.0,0.0,1.0,0.0,0.0
28.3926,97.2665,24.2908,16.9209,65.0,30.9555,64.0663,48.5908,1.0,1.0,0.0,1.0,0.0
41.7035,98.0452,84.3336,30.4116,59.0,53.4072,77.2023,55.906,0.0,1.0,1.0,0.0,0.0
49.24,99.2394,99.931,44.9683,78.0,4.4889,24.4433,85.0742,0.0,1.0,1.0,0.0,0.0
