cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
33.9715,97.6462,98.86710000000002,37.9839,98.0,57.3202,45.6157,85.1741,0.0,True,True,False,False
6.3996,50.8885,64.229,37.6367,72.0,61.922,26.6347,32.8408,1.0,True,False,True,True
24.39,80.158,79.209,51.3995,78.0,49.047,56.0714,79.0609,1.0,True,False,True,True
41.031,52.758,92.43150000000006,78.3818,53.0,80.1221,40.2897,50.9242,1.0,True,False,True,True
18.0215,61.45199999999998,65.15000000000002,2.0234,20.0,0.6304,88.2491,44.3981,1.0,True,False,False,False
33.9715,61.5083,93.56750000000002,31.5709,24.0,12.1378,19.2008,32.6802,1.0,True,True,True,True
24.5969,98.65119999999996,98.953,83.0299,63.0,69.5702,44.3576,35.9831,0.0,True,True,True,True
31.7669,80.7009,73.35499999999999,86.8548,11.0,20.951,51.6759,80.1201,0.0,False,True,False,False
18.0215,61.48959999999995,73.65500000000004,26.7376,34.0,5.6526,98.2451,55.5518,1.0,True,True,False,False
19.0,46.14599999999999,97.98550000000004,8.0572,65.0,21.3026,60.1986,61.4343,1.0,True,False,False,False
3.3439999999999994,57.324,77.3,80.4723,5.0,22.0744,89.3574,49.582,0.0,False,True,False,False
12.650300000000009,82.56599999999997,83.37500000000001,63.3096,15.0,11.4047,84.9502,55.5761,0.0,True,True,False,False
35.981,93.00969999999997,88.04500000000002,96.9586,10.0,49.9827,40.4683,84.2059,0.0,False,True,False,True
35.95049999999999,80.158,78.215,58.0081,86.0,24.4782,6.2185,52.9905,0.0,False,False,True,True
34.845000000000006,55.242,98.7499,0.8807,66.0,75.3252,10.1823,78.4038,1.0,True,False,False,False
35.7006,57.525,80.3135,18.1535,99.0,99.0908,97.4756,91.3696,0.0,False,False,False,False
34.33100000000001,100.0,97.84919999999998,74.883,89.0,93.6898,62.6252,85.9255,1.0,False,False,False,True
29.6152,80.158,59.075,77.3436,9.0,32.2578,5.8675,6.5617,1.0,True,False,True,False
1.2677,89.968,62.6912,95.663,1.0,54.9202,74.5786,86.9149,1.0,False,False,False,False
36.35189999999999,100.0,99.93110000000009,28.0694,40.0,23.1933,64.6552,74.2998,0.0,True,True,False,False
28.785000000000004,100.0,97.0705,81.603,72.0,52.4819,32.9429,44.3276,0.0,False,True,True,True
30.984,89.73640000000002,83.62700000000001,95.2151,62.0,63.6152,77.9988,89.2558,0.0,False,True,True,False
10.7398,75.65,55.43,92.3418,85.0,30.947,76.3369,55.2163,1.0,True,True,True,True
19.0,61.825800000000015,78.1192,69.6464,15.0,22.0301,89.3633,32.032,1.0,True,True,True,False
36.907,100.0,100.0,55.2451,35.0,25.4352,78.7958,38.7414,0.0,True,False,False,True
8.1603,92.8376,79.209,68.4117,2.0,30.007,61.5307,40.4169,0.0,False,False,False,False
37.21170000000001,95.59010000000002,81.418,52.3071,99.0,42.6652,17.5488,48.0001,0.0,False,True,False,False
35.743100000000005,66.4132,62.278000000000006,49.0411,4.0,52.0106,19.3496,28.4624,1.0,True,False,True,False
35.94279999999999,100.0,98.87000000000006,72.5675,26.0,44.4326,48.1044,83.4657,0.0,True,False,False,True
36.52699999999999,75.65,99.6311,35.21,10.0,46.2648,95.9107,43.7545,0.0,False,False,False,False
56.44380000000003,98.50099999999988,97.98550000000004,40.601,41.0,25.9555,86.6734,72.6235,0.0,False,True,False,False
36.54360000000001,56.254000000000005,73.65500000000004,79.2117,97.0,34.2568,96.9994,79.725,0.0,False,True,False,False
17.8955,100.0,98.3574,72.9997,82.0,75.6017,1.2465,99.1982,1.0,False,False,True,True
33.9715,59.2452,43.3175,12.9757,91.0,52.2308,31.5768,85.6349,1.0,True,False,True,True
9.5165,77.33409999999999,62.2497,98.1276,30.0,80.6916,79.0638,62.3726,1.0,True,False,True,True
29.763500000000004,100.0,99.0469,95.551,90.0,20.25,91.8629,42.2751,0.0,True,True,False,False
34.845000000000006,100.0,85.04640000000003,22.8547,23.0,61.2706,45.6029,70.1027,0.0,True,True,False,False
34.547700000000006,100.0,98.62300000000008,71.7437,70.0,4.5503,51.2472,36.687,0.0,True,False,False,False
18.34900000000001,82.56600000000002,83.15350000000002,13.3628,28.0,0.5578,50.1813,70.9549,0.0,True,False,False,False
35.981,100.0,69.048,78.0599,64.0,86.0363,23.7165,43.5978,0.0,False,True,False,False
32.6967,56.35,74.57,96.4365,18.0,31.3805,93.7071,68.6751,0.0,False,True,False,False
36.52699999999999,100.0,99.09000000000005,68.2558,98.0,30.9953,82.5258,16.9633,0.0,True,True,False,True
17.5517,49.9812,98.8647,73.6143,42.0,70.7968,11.0563,22.6334,1.0,True,True,True,True
18.0215,67.055,83.15350000000004,48.1831,9.0,44.143,9.1315,14.991,1.0,True,False,True,False
18.0215,43.11659999999999,74.87000000000005,47.8616,95.0,15.072,77.5369,8.0676,0.0,True,False,False,False
35.981,85.08830000000002,97.50560000000002,89.2594,37.0,27.9869,8.6561,43.1434,0.0,True,True,True,False
35.6339,80.158,81.418,36.3982,54.0,63.0556,3.0893,91.8007,0.0,False,True,False,False
18.9261,40.9753,56.645,33.0696,67.0,20.0097,97.4323,61.5319,0.0,False,True,False,False
36.52699999999999,86.18460000000002,99.5818,52.6206,100.0,46.9089,92.9568,75.5913,0.0,True,False,False,False
34.845000000000006,59.875,97.98550000000004,3.081,100.0,35.0938,83.1807,49.5563,0.0,True,False,False,False
36.907,65.74999999999999,99.09000000000005,31.3981,44.0,51.0394,62.8007,28.0609,0.0,False,False,False,True
17.8955,83.8897,89.1495,51.0568,42.0,72.1696,34.0769,14.9239,1.0,True,False,True,True
33.9715,81.52499999999999,69.2365,83.4039,12.0,60.746,12.4228,64.7946,0.0,False,False,False,False
54.3625,66.92499999999998,75.06720000000003,96.0011,59.0,34.7783,79.1321,61.6764,0.0,True,True,False,False
34.845000000000006,65.0619,98.4504,0.4897,8.0,72.6847,42.3417,34.1911,1.0,True,False,False,False
65.65199999999999,73.9824,99.86710000000004,46.4626,89.0,17.6326,97.5185,72.4279,1.0,True,False,False,False
16.766,56.254000000000005,86.72000000000003,73.383,78.0,24.9311,83.3184,30.9822,1.0,True,False,True,True
61.594,65.23219999999999,58.0843,85.3958,9.0,49.752,86.3846,28.1157,1.0,True,False,False,True
36.52699999999999,100.0,98.25780000000002,93.3666,77.0,37.6167,96.0002,76.6017,0.0,True,True,False,False
29.903200000000005,62.04599999999999,73.46200000000002,18.2733,38.0,8.7741,41.3539,37.7368,0.0,True,False,False,False
18.2605,81.7631,46.8754,68.163,63.0,13.7228,6.9415,25.6047,1.0,True,True,True,True
0.0,100.0,50.872999999999976,88.7758,26.0,77.4972,67.5273,18.6648,0.0,False,True,False,False
1.819499999999998,52.758,91.88000000000008,12.0115,7.0,55.8864,73.4275,55.3662,1.0,True,False,False,True
4.882900000000001,65.17799999999997,85.61250000000004,45.1713,89.0,20.0266,79.248,27.9676,1.0,True,False,True,True
35.7793,100.0,98.03260000000004,26.6695,21.0,63.8647,51.8671,19.3901,0.0,False,False,False,False
5.300999999999991,100.0,100.0,48.8084,35.0,1.3126,86.7496,31.8326,0.0,True,True,False,True
43.136100000000006,100.0,79.73000000000006,60.0392,0.0,30.6796,45.75,50.719,1.0,False,False,False,True
19.0,87.71099999999996,86.94050000000001,49.7468,83.0,54.8416,79.1389,38.5191,1.0,True,True,True,True
13.592799999999997,100.0,100.0,73.0568,72.0,1.7609,64.1285,57.439,0.0,False,True,True,False
41.031,49.63419999999999,97.5963,16.3386,0.0,50.085,43.7746,84.9837,1.0,False,False,False,False
36.907,77.59799999999998,97.92330000000004,57.4015,18.0,87.5641,21.5218,48.2439,0.0,False,False,False,False
37.07789999999999,55.175,73.35499999999999,91.983,55.0,89.7012,95.6969,66.8995,0.0,False,True,False,False
19.0,66.7125,80.83400000000002,90.8837,91.0,53.3767,35.0903,65.9134,0.0,True,True,True,True
4.7989,74.286,64.5975,9.712,36.0,4.2531,29.5271,42.4893,0.0,True,False,False,False
55.34940000000002,99.57999999999988,99.09000000000005,55.7862,37.0,62.1502,89.0476,50.8681,0.0,True,False,False,False
36.907,61.04999999999999,99.09000000000005,60.7961,39.0,63.6561,92.4991,39.8346,0.0,True,True,False,False
17.996000000000006,67.19290000000001,89.14950000000002,7.2987,21.0,39.9197,75.8192,85.5735,1.0,True,False,False,False
24.5016,75.6923,43.0524,99.9423,67.0,45.6154,25.215,61.78,1.0,True,False,True,True
35.08750000000001,100.0,99.1700000000001,63.5214,75.0,15.0544,18.1848,50.8996,0.0,True,True,False,True
12.5182,99.7382,65.15,70.7562,81.0,34.0251,67.2399,5.5001,0.0,True,False,False,False
57.298,90.62539999999998,79.83290000000001,50.5232,4.0,64.0492,99.5128,59.5606,0.0,False,False,False,False
4.562799999999999,81.237,83.37500000000007,79.5371,91.0,19.8106,4.8987,86.865,1.0,True,False,True,True
18.0215,62.69399999999997,69.58590000000002,25.2925,15.0,18.0517,68.225,68.6745,1.0,True,True,True,True
36.957800000000006,81.04800000000003,86.36970000000001,36.5158,41.0,0.0984,46.9414,81.486,0.0,False,True,False,False
8.035700000000002,30.402,97.0705,22.9794,6.0,85.824,20.9872,44.9596,0.0,False,False,False,False
0.0,96.29770000000003,72.9215,84.0486,8.0,98.8214,49.4631,5.4935,1.0,False,False,False,False
3.564300000000003,74.286,73.8755,19.3522,100.0,25.6711,33.8244,10.9347,1.0,True,False,False,True
35.981,99.57999999999988,99.09000000000005,92.3729,55.0,50.2139,64.8766,30.9116,0.0,True,True,False,False
37.2107,75.15,77.01820000000001,22.8998,57.0,60.5969,73.9985,56.2622,0.0,True,False,False,False
24.324300000000004,69.77799999999999,59.9585,20.8982,9.0,3.3175,46.6329,48.1705,0.0,True,False,False,False
33.3965,58.508,99.09000000000005,68.3063,62.0,57.0808,95.8221,84.5618,0.0,True,True,False,False
41.79699999999998,93.27499999999996,92.43150000000006,28.1943,28.0,69.132,51.124,71.9696,1.0,True,False,True,True
34.0224,62.22499999999999,93.56750000000002,53.7386,45.0,31.9497,76.3223,48.2439,1.0,True,True,True,True
55.63900000000003,73.166,74.57,85.4148,57.0,67.0617,94.3467,21.9962,0.0,False,True,False,False
35.08750000000001,57.290400000000005,99.09000000000005,45.5095,60.0,45.6084,30.4428,11.4986,0.0,True,False,False,False
35.1769,80.158,71.55600000000001,77.6664,57.0,76.0867,25.7413,80.4949,0.0,False,True,False,True
34.56780000000001,66.02120000000001,99.20950000000003,71.2046,37.0,38.9231,43.3783,58.7698,0.0,True,True,False,False
22.093,66.92499999999998,100.0,2.1309,40.0,27.9715,91.6996,28.3843,0.0,True,False,False,False
19.9785,89.8835,80.0375,99.6065,13.0,41.5843,32.4615,30.9768,0.0,False,True,False,True
17.895500000000006,98.87569999999992,99.09000000000005,36.2778,91.0,94.8605,68.5231,65.1343,1.0,False,False,True,True
36.42190000000001,58.508,95.476,32.2176,98.0,27.5074,47.5989,38.5833,0.0,True,False,False,False
33.717800000000004,67.1312,60.4765,82.8982,15.0,19.0127,19.0203,62.3632,1.0,True,False,True,True
2.3828000000000022,100.0,99.4953,75.9653,42.0,59.0607,76.8827,94.7684,0.0,True,False,False,True
32.78300000000001,100.0,93.5675,4.7364,22.0,24.6549,54.671,95.5257,1.0,True,False,False,False
33.9715,85.55299999999997,98.8837,55.6778,67.0,64.5327,43.9877,43.8257,0.0,False,False,False,True
26.245700000000006,100.0,99.18240000000004,94.9312,94.0,8.7454,34.1756,53.9882,0.0,True,True,True,True
23.235799999999998,67.1399,82.52250000000001,84.7397,46.0,67.4802,71.3983,7.4249,0.0,True,True,False,False
34.8424,94.57200000000006,99.09000000000005,36.6939,43.0,32.1382,25.6289,41.4969,0.0,True,True,False,True
28.785000000000004,80.61200000000002,66.917,88.3914,21.0,66.6977,25.8052,65.2698,0.0,True,True,False,False
35.981,100.0,93.56750000000002,40.5565,81.0,44.9692,7.5329,86.2827,0.0,False,False,False,True
21.9355,53.2869,99.09000000000005,36.0393,90.0,37.3412,23.3334,46.2735,0.0,True,False,False,False
