cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
36.981,79.6462,87.8221,37.9839,98.0,57.3202,45.6157,85.1741,0.0,False,True,False,True
6.3996,50.8885,64.229,37.6367,72.0,61.922,26.6347,32.8408,1.0,True,False,True,True
24.39,80.158,79.209,51.3995,78.0,49.047,56.0714,79.0609,1.0,True,False,True,True
18.9115,57.882,90.0465,78.3818,53.0,80.1221,40.2897,50.9242,1.0,True,False,True,True
17.9545,61.69950000000002,65.06799999999998,2.0234,20.0,0.6304,88.2491,44.3981,1.0,True,False,False,False
35.054,78.3523,95.01900000000002,31.5709,24.0,12.1378,19.2008,32.6802,1.0,True,False,True,True
18.7689,65.6832,97.953,83.0299,63.0,69.5702,44.3576,35.9831,0.0,True,True,False,True
9.8544,79.7799,65.57,86.8548,11.0,20.951,51.6759,80.1201,0.0,True,True,False,False
45.69300000000002,65.413,90.56799999999998,26.7376,34.0,5.6526,98.2451,55.5518,1.0,True,False,False,False
17.9545,100.0,87.42500000000001,8.0572,65.0,21.3026,60.1986,61.4343,1.0,True,False,False,False
19.043,30.484,51.43,80.4723,5.0,22.0744,89.3574,49.582,0.0,False,False,False,False
6.8653,49.516,51.43,63.3096,15.0,11.4047,84.9502,55.5761,0.0,True,True,False,True
36.981,80.2987,77.209,96.9586,10.0,49.9827,40.4683,84.2059,0.0,False,True,False,False
3.613,80.158,65.57,58.0081,86.0,24.4782,6.2185,52.9905,0.0,False,True,True,True
37.938,45.516,88.9139,0.8807,66.0,75.3252,10.1823,78.4038,1.0,True,False,False,False
37.9346,55.35,77.209,18.1535,99.0,99.0908,97.4756,91.3696,0.0,False,False,False,False
31.756000000000007,88.61919999999998,83.108,74.883,89.0,93.6898,62.6252,85.9255,1.0,False,False,False,True
4.7455,80.15799999999999,97.0495,77.3436,9.0,32.2578,5.8675,6.5617,1.0,True,False,True,True
0.0,83.61099999999999,80.027,95.663,1.0,54.9202,74.5786,86.9149,1.0,False,False,False,False
51.9899,80.158,65.8461,28.0694,40.0,23.1933,64.6552,74.2998,0.0,True,False,False,False
37.09800000000001,90.847,79.244,81.603,72.0,52.4819,32.9429,44.3276,0.0,False,True,False,True
18.984,79.7204,77.209,95.2151,62.0,63.6152,77.9988,89.2558,0.0,False,True,True,False
10.7398,75.65,55.43,92.3418,85.0,30.947,76.3369,55.2163,1.0,True,True,True,True
50.136,76.46350000000001,99.00369999999994,69.6464,15.0,22.0301,89.3633,32.032,1.0,True,False,True,False
37.938,63.1535,77.209,55.2451,35.0,25.4352,78.7958,38.7414,0.0,False,True,False,False
10.1698,98.8296,77.209,68.4117,2.0,30.007,61.5307,40.4169,0.0,False,False,False,False
5.9642,45.2501,78.209,52.3071,99.0,42.6652,17.5488,48.0001,0.0,False,True,False,True
18.9115,80.9925,51.315000000000005,49.0411,4.0,52.0106,19.3496,28.4624,1.0,False,False,False,False
9.6053,80.158,65.57,72.5675,26.0,44.4326,48.1044,83.4657,0.0,False,True,False,True
23.062,74.65,97.6311,35.21,10.0,46.2648,95.9107,43.7545,0.0,True,True,False,False
43.2108,80.158,77.209,40.601,41.0,25.9555,86.6734,72.6235,0.0,False,True,False,False
22.9056,55.508,52.43,79.2117,97.0,34.2568,96.9994,79.725,0.0,True,True,False,False
34.1425,76.975,97.1014,72.9997,82.0,75.6017,1.2465,99.1982,1.0,False,False,False,True
4.726499999999994,100.0,79.76549999999999,12.9757,91.0,52.2308,31.5768,85.6349,1.0,True,False,False,True
9.5165,76.1591,51.0347,98.1276,30.0,80.6916,79.0638,62.3726,1.0,True,False,True,True
19.043,57.0884,93.6789,95.551,90.0,20.25,91.8629,42.2751,0.0,True,True,False,True
37.938,50.516,50.8929,22.8547,23.0,61.2706,45.6029,70.1027,0.0,False,False,False,False
40.9727,79.9354,61.8305,71.7437,70.0,4.5503,51.2472,36.687,0.0,True,True,False,True
37.938,50.516,51.639,13.3628,28.0,0.5578,50.1813,70.9549,0.0,True,False,False,False
36.981,54.6045,37.736,78.0599,64.0,86.0363,23.7165,43.5978,0.0,False,False,False,False
36.9092,55.35,65.57,96.4365,18.0,31.3805,93.7071,68.6751,0.0,False,True,False,False
23.062,56.508,77.209,68.2558,98.0,30.9953,82.5258,16.9633,0.0,True,True,False,False
17.5517,49.9812,98.8647,73.6143,42.0,70.7968,11.0563,22.6334,1.0,True,True,True,True
17.9545,92.90250000000006,79.77300000000002,48.1831,9.0,44.143,9.1315,14.991,1.0,True,True,True,True
19.043,38.1486,52.43,47.8616,95.0,15.072,77.5369,8.0676,0.0,True,False,False,False
36.981,57.0403,84.5651,89.2594,37.0,27.9869,8.6561,43.1434,0.0,True,True,True,False
37.6434,80.158,78.209,36.3982,54.0,63.0556,3.0893,91.8007,0.0,False,False,True,True
18.0551,41.2173,52.43,33.0696,67.0,20.0097,97.4323,61.5319,0.0,True,True,False,False
23.062,74.4226,94.3728,52.6206,100.0,46.9089,92.9568,75.5913,0.0,True,True,False,False
37.938,55.35,77.209,3.081,100.0,35.0938,83.1807,49.5563,0.0,True,False,False,False
37.938,55.35,77.209,31.3981,44.0,51.0394,62.8007,28.0609,0.0,True,False,False,False
36.981,63.6037,78.209,51.0568,42.0,72.1696,34.0769,14.9239,1.0,True,False,True,True
36.981,74.65,51.639,83.4039,12.0,60.746,12.4228,64.7946,0.0,False,True,False,False
57.575,55.35,57.7022,96.0011,59.0,34.7783,79.1321,61.6764,0.0,False,False,False,False
34.161500000000004,65.9384,95.0884,0.4897,8.0,72.6847,42.3417,34.1911,1.0,True,False,False,False
66.184,85.95500000000001,98.9916,46.4626,89.0,17.6326,97.5185,72.4279,1.0,True,False,False,False
18.9115,68.7655,89.57,73.383,78.0,24.9311,83.3184,30.9822,1.0,True,True,True,True
18.9115,93.89500000000008,83.108,85.3958,9.0,49.752,86.3846,28.1157,1.0,True,False,True,True
23.062,79.7717,89.5263,93.3666,77.0,37.6167,96.0002,76.6017,0.0,True,True,False,False
40.5407,55.284,61.8645,18.2733,38.0,8.7741,41.3539,37.7368,0.0,False,False,False,False
