cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
2.6965,47.0981,50.3745,2.2453,78.0,43.6021,92.2491,31.7231,1.0,1.0,0.0,0.0,0.0
3.907,38.6063,45.0334,99.1794,51.0,0.1218,15.3046,1.1143,0.0,1.0,0.0,0.0,0.0
12.5462,17.0677,28.4002,75.7928,95.0,49.6436,0.4404,41.6098,1.0,0.0,0.0,1.0,0.0
96.513,77.6489,35.5296,78.1965,67.0,2.5329,41.2987,8.9468,0.0,0.0,0.0,0.0,0.0
60.969,76.0374,96.9853,80.3926,17.0,42.8098,73.6785,79.8069,1.0,1.0,0.0,1.0,1.0
24.8679,36.3313,80.4556,30.9318,6.0,50.7736,86.8765,83.8887,0.0,0.0,1.0,0.0,0.0
4.1525,67.9364,89.0036,93.2179,49.0,33.527,12.1302,7.2498,1.0,1.0,0.0,0.0,1.0
54.8788,28.1214,20.644,45.5491,57.0,56.8803,11.0954,87.3651,1.0,0.0,0.0,1.0,0.0
1.3091,45.0172,35.392,65.3705,86.0,37.9536,0.5411,75.2479,0.0,0.0,0.0,1.0,1.0
7.5362,25.0348,71.603,27.8746,86.0,13.4503,49.3737,6.4327,1.0,1.0,0.0,0.0,1.0
37.0976,84.6623,64.5538,52.8372,26.0,4.07,69.5093,30.2132,1.0,1.0,1.0,1.0,1.0
60.6064,96.6926,80.3477,65.1495,15.0,67.1678,38.6792,86.832,1.0,0.0,0.0,1.0,1.0
24.5668,55.7791,12.9391,30.5882,30.0,84.9072,67.3163,26.0595,1.0,0.0,0.0,1.0,0.0
3.7669,91.1417,61.1053,67.513,92.0,15.5986,42.3794,95.9857,1.0,1.0,0.0,1.0,1.0
26.6811,35.0168,51.1914,96.3139,71.0,61.5971,40.3245,54.9939,0.0,1.0,0.0,0.0,1.0
70.3337,31.3346,60.6377,57.0132,89.0,86.938,52.3414,54.322,1.0,0.0,0.0,1.0,0.0
79.0653,31.144,82.2788,54.89,84.0,58.7183,83.0588,27.2037,1.0,1.0,0.0,0.0,1.0
17.4858,91.8748,80.4395,8.8471,70.0,65.2365,23.0556,68.753,1.0,1.0,0.0,0.0,1.0
33.3586,96.5705,52.2019,83.5431,65.0,88.1705,12.2255,80.093,1.0,0.0,0.0,1.0,1.0
82.0729,74.618,41.3973,3.6488,72.0,42.039,33.1963,17.0337,1.0,1.0,0.0,0.0,0.0
86.298,14.6249,3.6538,13.7465,0.0,10.3484,1.5225,33.7269,1.0,0.0,0.0,0.0,1.0
37.6457,84.9431,90.2361,90.8141,81.0,85.6378,37.7996,79.4564,1.0,1.0,1.0,1.0,1.0
67.1081,13.3996,96.4399,42.2736,29.0,15.8616,13.78,39.4506,1.0,1.0,0.0,0.0,1.0
6.8598,63.9633,34.2155,19.9999,85.0,61.9074,12.7768,46.0138,0.0,0.0,0.0,0.0,1.0
6.4251,98.8499,2.145,98.3098,92.0,64.0424,89.0034,83.6641,0.0,0.0,0.0,0.0,0.0
45.1749,92.5101,41.8802,91.6582,82.0,62.5729,79.4447,32.69,0.0,0.0,1.0,0.0,0.0
53.1747,56.1612,44.1796,51.3695,48.0,51.2738,3.957,82.0626,1.0,0.0,0.0,1.0,1.0
20.1566,33.6142,44.1463,33.1801,31.0,30.7766,41.4465,13.1621,1.0,1.0,0.0,1.0,0.0
73.4144,46.2076,41.9811,28.7376,84.0,57.7609,94.2526,96.5032,1.0,0.0,0.0,0.0,1.0
53.345,27.337,70.2976,94.186,20.0,3.0827,6.9968,80.7495,0.0,0.0,1.0,0.0,0.0
53.5921,82.0972,74.7946,38.5736,66.0,3.7439,13.0049,83.7988,0.0,0.0,1.0,0.0,0.0
49.0253,33.8987,29.4012,64.3114,86.0,51.06,26.9415,23.7192,0.0,0.0,1.0,0.0,0.0
56.986,51.2043,1.2288,95.5719,62.0,55.402,5.8685,48.8796,1.0,0.0,0.0,0.0,0.0
15.984,80.7204,44.8589,95.2151,62.0,63.6152,77.9988,89.2558,0.0,0.0,1.0,0.0,0.0
17.4448,14.2152,74.1754,60.8342,99.0,65.6702,62.6643,70.3105,1.0,1.0,1.0,1.0,0.0
52.7459,21.1832,15.3355,64.6744,54.0,83.4433,1.6231,40.7013,1.0,0.0,0.0,0.0,1.0
78.048,42.7719,92.4046,14.0766,36.0,1.7413,68.448,24.1156,1.0,1.0,0.0,0.0,1.0
17.2752,19.8221,21.4817,47.6737,52.0,32.2233,26.4529,56.8542,0.0,1.0,1.0,0.0,0.0
6.9175,97.155,82.9759,91.9854,32.0,69.9985,92.5658,61.743,1.0,1.0,0.0,1.0,0.0
51.4633,96.2701,96.1105,23.3526,89.0,42.994,30.9436,19.708,1.0,1.0,1.0,1.0,1.0
60.8583,31.5297,41.4933,95.5943,93.0,43.3267,3.1755,61.3511,1.0,0.0,0.0,1.0,1.0
49.4304,29.4552,42.4425,13.8782,50.0,65.4317,50.0634,52.1458,0.0,0.0,1.0,0.0,0.0
50.5119,92.9869,62.8375,65.9524,70.0,8.7007,9.7482,55.3178,0.0,0.0,1.0,0.0,0.0
13.0551,42.2173,35.0745,33.0696,67.0,20.0097,97.4323,61.5319,0.0,1.0,1.0,0.0,0.0
30.2842,49.7057,55.0379,52.1832,54.0,43.4102,50.7958,82.76,0.0,1.0,1.0,0.0,1.0
42.8687,58.7437,79.1857,83.9137,0.0,76.4555,28.6035,91.4197,0.0,0.0,0.0,0.0,1.0
25.4932,34.1456,88.7698,52.6973,55.0,22.4585,45.6806,45.7154,0.0,1.0,1.0,0.0,0.0
53.5132,85.3106,78.9561,30.9546,97.0,96.1684,5.351,95.998,1.0,0.0,0.0,0.0,0.0
53.0827,15.2774,95.0432,79.7363,44.0,16.1064,19.9032,61.8619,1.0,1.0,1.0,1.0,1.0
74.7953,94.8061,56.439,54.2375,82.0,80.9987,53.1466,12.8314,1.0,1.0,0.0,0.0,1.0
45.662,17.8364,43.4488,52.6024,55.0,31.4065,44.2332,79.9602,1.0,1.0,0.0,0.0,1.0
1.9949,82.1501,80.3595,81.2941,84.0,0.0287,1.5564,91.4234,0.0,0.0,1.0,0.0,1.0
36.2029,96.3245,99.8274,23.0567,84.0,28.0962,81.8391,64.6062,0.0,1.0,0.0,0.0,0.0
38.6564,79.2364,89.1771,88.7543,41.0,65.4972,81.5528,82.2578,0.0,0.0,1.0,0.0,0.0
