,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
0,"[ 2.31822096 52.42367204 99.9628742  77.2382     12.         33.9676
 69.488      54.5007      1.        ]","[ 2.0379798  52.51848182 88.88328889 77.2382     12.         33.9676
 69.488      54.5007      1.        ]",[48.945  72.0384 90.544  77.2382 12.     33.9676 69.488  54.5007  1.    ],[23.469  77.6854 90.318  77.2382 12.     33.9676 69.488  54.5007  1.    ],[0.94736998 0.68635002 0.84314376 0.9141791 ],[0.94736998 0.65325555 0.84314376 0.9141791 ],[[0.94661358 0.60582071 0.81002261 0.86408192]],[0.94736998 0.62183503 0.84314376 0.86408192],72.69347472180732,83.39800909090906,109.12439999999987,78.22739999999999,10.704534369101737,25.72639090909081,36.43092527819255,30.896999999999878,0.14725578066074316,0.3084772788886055,0.5011581220681921,0.3949639129000821,0.7629454135894775,0.030040740966796875,0.20968985557556152,0.06030106544494629,25.39702380952381,3.638446941056483,0.1432627290640282,0.2875726404571673,1002,120
1,"[29.70173349 98.51207343 99.94842993 57.5857     68.         76.6919
 79.5727     97.5685      1.        ]","[ 2.0379798  52.51848182 95.95278687 57.5857     68.         76.6919
 79.5727     97.5685      1.        ]","[ 25.9081  78.28   100.      57.5857  68.      76.6919  79.5727  97.5685
   1.    ]",[24.5581 64.3825 97.3973 57.5857 68.     76.6919 79.5727 97.5685  1.    ],[0.05077271 0.38545509 0.87298862 0.88979986],[0.1021985  0.14578506 0.87729717 0.91326714],[0.00652306 0.2507755  0.87159425 0.88979986],[0.08913304 0.13512643 0.87159425 0.87103515],73.65553012157466,95.98101111111112,90.04239999999993,105.19259999999997,22.32548098953646,-5.938611111111186,16.386869878425273,-15.15020000000004,0.3031066500055919,-0.061872770898781564,0.22247983079311714,-0.14402343891110253,0.26378464698791504,0.024758100509643555,0.18482589721679688,0.34191083908081055,10.654478395269782,1.4272060948174445,0.1339536335679346,1.8499076386452291,1002,1002
2,"[2.53799949e-01 4.90841319e-02 9.99538839e+01 9.79306000e+01
 6.40000000e+01 9.52322000e+01 8.74615000e+01 7.54120000e+00
 0.00000000e+00]","[13.13356869 71.69086364 95.97264343 97.9306     64.         95.2322
 87.4615      7.5412      0.        ]",[ 0.      0.     60.318  97.9306 64.     95.2322 87.4615  7.5412  0.    ],[25.142  53.228  59.318  97.9306 64.     95.2322 87.4615  7.5412  0.    ],[0.01942601 0.10939757 0.21447495 0.69388318],[0.18195722 0.17087191 0.03227415 0.12527442],[0.02848605 0.02474421 0.28745914 0.62835408],[0.18530301 0.09406487 0.04332907 0.04877153],102.32023190108225,47.53946161616159,141.7514,114.66539999999998,-54.78077028492066,94.2119383838384,39.43116809891774,27.086000000000013,-0.5353855172834224,1.981762838302947,0.3853701987016379,0.23621772566092317,0.24880623817443848,0.04717063903808594,0.020045042037963867,0.048880815505981445,5.274599692693381,12.412358013678263,2.353232233125186,2.4385489146595303,108,20
3,"[37.19891539 99.86020149 89.70744878 31.5375     31.          5.6827
  1.0463     13.3079      1.        ]",[19.07   99.9449 81.085  31.5375 31.      5.6827  1.0463 13.3079  1.    ],"[ 29.615  100.      89.425   31.5375  31.       5.6827   1.0463  13.3079
   1.    ]","[ 29.9395 100.      96.895   31.5375  31.       5.6827   1.0463  13.3079
   1.    ]",[0.12108115 0.58943605 0.81813572 0.90237857],[0.11220676 0.58032117 0.85167467 0.87506143],[0.11220676 0.58943605 0.83047454 0.85908687],[0.11220676 0.58943605 0.83047454 0.79915809],116.09376512254875,106.50259999999997,108.65249999999997,101.507,-9.591165122548773,2.1499000000000024,-7.441265122548771,7.14549999999997,-0.08261567804631303,0.020186361647509102,-0.064097026353601,0.07039416000866905,0.20062971115112305,0.008019208908081055,0.11415243148803711,0.06118488311767578,25.01864129626877,1.7575596816976127,0.07025000522149585,0.5359928152217047,1002,102
4,"[ 0.82123452 65.64928425 91.34230897 95.1977     30.         64.5506
 53.1348     31.9756      0.        ]","[ 2.0379798  65.63642727 89.89321717 95.1977     30.         64.5506
 53.1348     31.9756      0.        ]",[51.832  99.1811 99.18   95.1977 30.     64.5506 53.1348 31.9756  0.    ],[54.888  72.0251 59.318  95.1977 30.     64.5506 53.1348 31.9756  0.    ],[0.77398775 0.86821589 0.23652969 0.51036704],[0.77398775 0.86821589 0.23652969 0.51036704],[0.71189092 0.82286682 0.19726904 0.37000617],[0.71240115 0.84248208 0.13442154 0.35256051],48.631941305069745,51.31063535353536,58.27319999999992,128.3472,2.6786940484656157,6.962564646464557,9.641258694930173,-70.07400000000007,0.05508096071390778,0.13569437600005918,0.19824951330752447,-0.5459721754740273,0.22255611419677734,0.02401113510131836,0.2696812152862549,0.05587339401245117,9.268871015787905,0.8252562714112056,0.08903525251408996,0.20718311415626037,1002,52
5,"[ 11.09158141  99.91796019  99.89744205  39.8636     100.
  25.3258      78.3569      45.7262       1.        ]","[  2.0379798  99.9449     93.9329303  39.8636    100.         25.3258
  78.3569     45.7262      1.       ]","[ 24.6057  73.224   91.0247  39.8636 100.      25.3258  78.3569  45.7262
   1.    ]","[ 10.6142 100.     100.      39.8636 100.      25.3258  78.3569  45.7262
   1.    ]",[0.96106901 0.79238564 0.76171673 0.89886229],[0.96106901 0.76542334 0.76171673 0.77354894],[[0.96106901 0.61815839 0.76171673 0.87238801]],[0.7628728  0.71942473 0.76171673 0.81633256],71.41257917427242,68.29654949494943,120.49339999999995,70.75059999999996,-3.116029679322992,52.19685050505052,49.08082082572753,49.74279999999999,-0.04363418483624232,0.7642677542429944,0.6872853689537335,0.7030724827775314,0.21088600158691406,0.040427207946777344,0.22466301918029785,0.08783435821533203,5.216437451345804,0.938676967648479,0.1799459835191366,0.39096046396867257,1002,324
6,"[23.82992541 52.4440405  97.12227795 58.3106     83.         84.2567
 34.2959     80.941       1.        ]","[ 2.0379798  52.51848182 95.95278687 58.3106     83.         84.2567
 34.2959     80.941       1.        ]","[ 30.3192 100.      96.5444  58.3106  83.      84.2567  34.2959  80.941
   1.    ]",[30.3192 71.4543 77.1134 58.3106 83.     84.2567 34.2959 80.941   1.    ],[0.71938799 0.68266717 0.87970978 0.89530834],[0.71938799 0.67224207 0.87970978 0.93022832],[0.71938799 0.67343296 0.87321875 0.83676622],[0.71938799 0.45859933 0.84060924 0.91090251],115.95300696483412,95.25611111111107,75.46419999999995,123.44089999999994,-20.69689585372305,-19.79191111111112,-40.48880696483417,-47.976699999999994,-0.17849382603764594,-0.20777576241827606,-0.34918289766399496,-0.38866129459522747,0.21182465553283691,0.021676301956176758,0.019935131072998047,0.040261030197143555,9.772176820616606,10.625696653670438,1.0873418327074413,2.0196019805295764,78,46
7,"[ 7.26593414 99.84926498 90.85065975 38.1485     31.          3.6729
 66.3874     15.9711      1.        ]","[13.13356869 52.51848182 88.88328889 38.1485     31.          3.6729
 66.3874     15.9711      1.        ]",[46.168  88.351  78.33   38.1485 31.      3.6729 66.3874 15.9711  1.    ],[45.547  93.767  90.6405 38.1485 31.      3.6729 66.3874 15.9711  1.    ],[0.96313643 0.68172756 0.821771   0.83621261],[0.96313643 0.64041772 0.821771   0.83621261],[[0.96259768 0.56547061 0.76178273 0.76348892]],[0.96259768 0.59232266 0.78796772 0.77385714],78.41750941254793,133.58329797979798,141.33849999999995,122.99100000000004,55.16578856725005,7.755202020201978,62.920990587452025,18.34749999999991,0.7034881492732378,0.0580551770878932,0.802384455446423,0.14917758209950244,0.21142315864562988,0.0264434814453125,0.1799788475036621,0.2554788589477539,7.995284549913445,1.1747111484383073,0.14692549603516292,1.419493804362513,1002,1002
8,"[ 0.95968549 52.45239972 99.93754008 28.1943     28.         69.132
 51.124      71.9696      1.        ]","[ 2.0379798  52.51848182 89.89321717 28.1943     28.         69.132
 51.124      71.9696      1.        ]",[19.965  77.9229 92.5525 28.1943 28.     69.132  51.124  71.9696  1.    ],[ 0.     51.1629 65.275  28.1943 28.     69.132  51.124  71.9696  1.    ],[0.88825235 0.55017794 0.83777063 0.84838131],[0.93916649 0.51291211 0.83777063 0.84838131],[0.93916649 0.3794186  0.83777063 0.87004374],[0.93740177 0.39482646 0.81630223 0.82614788],120.37544568504103,131.43198080808077,121.2953,155.36780000000002,11.056535123039737,-10.136680808080769,0.9198543149589682,-34.07250000000002,0.09185041899631965,-0.0771249184997259,0.007641544417336914,-0.21930219775268758,0.21411943435668945,0.02405714988708496,0.26035594940185547,0.06783151626586914,8.900448946017463,0.8224103764427497,0.09240099925641843,0.26053376702820114,1002,114
9,"[16.72495617 52.60675557 99.9337515  59.4029     34.         68.7166
 79.4051     52.8759      1.        ]","[ 2.0379798  52.51848182 95.95278687 59.4029     34.         68.7166
 79.4051     52.8759      1.        ]",[43.818  60.0845 90.544  59.4029 34.     68.7166 79.4051 52.8759  1.    ],[42.468  84.6695 92.351  59.4029 34.     68.7166 79.4051 52.8759  1.    ],[0.88819857 0.74759345 0.82865079 0.85270842],[0.93913554 0.70710933 0.82865079 0.90887579],[[0.93913554 0.56338139 0.81996841 0.85270842]],[0.93913554 0.56338139 0.81996841 0.87375322],104.7815490936261,94.1638111111111,133.7865999999999,106.04459999999995,-10.617737982514996,39.622788888888806,29.00505090637381,27.741999999999962,-0.10133213408619932,0.420785739461361,0.2768144884025025,0.2616069087912065,0.22993969917297363,0.024260282516479492,0.20841336250305176,0.3399662971496582,9.478030563608668,1.1032867394460213,0.11640464039883361,1.6312116126655754,1002,1002
