cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
0.9894999999999854,100.0,100.0,85.0655,72.0,53.4115,47.4573,65.0505,1.0,True,False,True,True
36.403200000000005,86.51899999999999,88.31500000000001,14.1064,94.0,36.3196,47.4128,30.174,1.0,True,False,False,True
2.051,80.01650000000001,58.151,33.9837,2.0,40.0496,48.8073,16.5239,0.0,False,False,False,False
29.987,98.6484,79.263,26.0421,57.0,58.1118,33.1356,76.3667,1.0,True,False,True,True
4.367999999999997,92.554,87.6182,53.6935,54.0,31.0044,20.1123,60.7999,0.0,True,True,False,True
23.0,66.53,80.39450000000001,54.1224,69.0,79.1696,13.8032,87.4703,0.0,False,False,False,False
5.071599999999998,89.00540000000004,99.86650000000004,89.1943,23.0,16.2121,95.1509,96.1753,1.0,True,False,True,True
23.609500000000004,88.79640000000002,91.0354,23.9853,77.0,75.1159,5.5359,17.8671,1.0,True,False,True,True
41.5571,98.56479999999998,100.0,32.4927,59.0,53.1908,1.0534,21.3766,1.0,False,False,True,True
16.012999999999998,76.289,83.789,33.3693,56.0,10.979,14.1026,94.1385,1.0,True,False,True,True
36.5365,75.9765,86.45480000000002,54.1217,71.0,70.7851,64.0756,41.4886,1.0,True,False,True,True
6.179000000000002,81.033,89.4465,53.2126,9.0,58.1026,58.8948,91.5788,1.0,True,False,True,True
30.3081,67.5425,79.263,60.2289,65.0,62.7183,42.6459,39.865,0.0,False,True,False,False
15.0428,76.3575,78.1315,45.9972,59.0,26.5403,26.498,54.0864,0.0,True,False,False,False
38.691,80.01650000000001,100.0,1.8724,37.0,47.3434,0.1594,62.2323,0.0,False,False,False,False
19.5065,89.51010000000001,58.151,60.9311,30.0,14.8273,40.002,25.4824,0.0,True,True,False,True
5.222100000000001,70.6609,84.92050000000002,84.979,94.0,46.49,81.622,68.9104,0.0,True,True,False,False
14.848499999999998,80.01650000000001,75.37480000000001,85.0415,68.0,39.3406,15.6165,21.7529,0.0,True,True,False,False
0.3441999999999998,76.76350000000001,91.465,74.4765,96.0,44.4671,64.6771,92.6061,0.0,False,False,False,True
4.219000000000001,80.01650000000001,90.578,69.5893,30.0,63.9781,8.332,63.46,1.0,True,False,True,True
0.0,71.88450000000002,84.92049999999999,80.4726,23.0,47.7724,63.5341,69.2137,1.0,True,False,True,True
36.1256,92.8445,100.0,39.9305,24.0,28.0601,93.5575,44.6392,0.0,True,True,False,False
17.146000000000004,76.21010000000001,65.1755,93.8033,38.0,25.8249,33.3249,63.0646,0.0,True,True,False,False
34.645,76.289,91.6951,24.8536,51.0,5.7854,59.8695,93.8961,1.0,True,True,True,True
2.0645000000000024,94.5895,80.4704,29.2516,85.0,50.5482,73.1106,66.2633,0.0,True,False,False,False
9.135,75.9505,80.01010000000001,41.4115,9.0,55.7738,7.9468,58.175,0.0,False,True,False,False
36.5365,99.85940000000002,100.0,26.001,15.0,14.532,87.5669,46.3139,0.0,True,False,False,False
24.1645,77.908,53.0043,86.4615,96.0,93.8496,45.2259,68.9727,0.0,False,False,False,False
26.96,88.9219,48.379000000000005,98.5921,100.0,91.3001,58.9502,30.9401,1.0,False,False,True,True
2.166499999999999,71.4575,100.0,70.3163,99.0,89.1768,69.7587,60.0352,0.0,False,False,False,False
