cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
37.51600000000001,59.604,99.263,85.0655,72.0,53.4115,47.4573,65.0505,1.0,True,False,True,True
37.8472,87.8865,84.39800000000001,14.1064,94.0,36.3196,47.4128,30.174,1.0,True,False,False,True
2.051,80.033,55.302,33.9837,2.0,40.0496,48.8073,16.5239,0.0,False,False,False,False
39.056,85.42639999999999,79.263,26.0421,57.0,58.1118,33.1356,76.3667,1.0,True,False,True,True
20.671,40.506,78.6977,53.6935,54.0,31.0044,20.1123,60.7999,0.0,True,True,False,False
20.671,40.506,79.263,54.1224,69.0,79.1696,13.8032,87.4703,0.0,False,True,False,False
4.007599999999998,80.0,84.2345,89.1943,23.0,16.2121,95.1509,96.1753,1.0,False,True,False,True
24.366,84.9625,98.9249,23.9853,77.0,75.1159,5.5359,17.8671,1.0,True,True,True,True
25.2691,96.5503,100.0,32.4927,59.0,53.1908,1.0534,21.3766,1.0,False,False,True,True
26.671,40.506,79.263,33.3693,56.0,10.979,14.1026,94.1385,1.0,True,True,True,True
36.00000000000001,42.11899999999994,100.0,54.1217,71.0,70.7851,64.0756,41.4886,1.0,True,True,True,True
9.7965,60.51800000000002,100.0,53.2126,9.0,58.1026,58.8948,91.5788,1.0,True,False,True,True
29.574600000000004,67.583,79.263,60.2289,65.0,62.7183,42.6459,39.865,0.0,False,True,False,False
15.4863,75.8675,81.31700000000001,45.9972,59.0,26.5403,26.498,54.0864,0.0,True,True,False,True
38.691,81.033,99.6716,1.8724,37.0,47.3434,0.1594,62.2323,0.0,False,False,False,False
14.940999999999995,87.34360000000001,58.1415,60.9311,30.0,14.8273,40.002,25.4824,0.0,True,False,False,True
1.7876,67.4079,79.263,84.979,94.0,46.49,81.622,68.9104,0.0,True,True,False,False
20.671,80.033,82.9788,85.0415,68.0,39.3406,15.6165,21.7529,0.0,True,False,False,True
4.4987,74.527,90.3335,74.4765,96.0,44.4671,64.6771,92.6061,0.0,True,True,False,True
22.5575,93.76499999999996,74.94200000000001,69.5893,30.0,63.9781,8.332,63.46,1.0,True,True,True,True
19.823,83.08450000000003,100.0,80.4726,23.0,47.7724,63.5341,69.2137,1.0,True,False,True,True
33.9711,59.217,52.7073,39.9305,24.0,28.0601,93.5575,44.6392,0.0,True,False,False,False
12.906,77.3656,71.002,93.8033,38.0,25.8249,33.3249,63.0646,0.0,True,False,False,False
37.2175,90.82399999999998,100.0,24.8536,51.0,5.7854,59.8695,93.8961,1.0,True,True,True,True
38.691,51.217,49.8424,29.2516,85.0,50.5482,73.1106,66.2633,0.0,False,False,False,False
19.9075,81.033,78.4046,41.4115,9.0,55.7738,7.9468,58.175,0.0,False,True,False,False
38.691,91.5339,92.6707,26.001,15.0,14.532,87.5669,46.3139,0.0,False,False,False,False
24.671,76.816,55.3328,86.4615,96.0,93.8496,45.2259,68.9727,0.0,False,False,False,False
18.0,85.7389,80.027,98.5921,100.0,91.3001,58.9502,30.9401,1.0,True,False,True,True
24.4025,51.217,90.3388,70.3163,99.0,89.1768,69.7587,60.0352,0.0,False,True,False,False
5.661,83.5883,88.74900000000002,60.2138,82.0,45.3075,21.6801,36.8884,1.0,True,False,True,True
11.0515,59.1655,58.1605,76.736,55.0,7.8742,72.1068,69.8321,0.0,True,True,False,False
26.671,59.184,79.6677,74.9565,84.0,0.8712,12.1337,39.8415,0.0,True,True,False,True
26.0621,80.033,87.6449,92.8302,23.0,93.8373,0.4907,75.6161,0.0,False,False,True,True
27.114999999999995,82.61800000000007,100.0,49.8541,83.0,48.9021,28.2094,68.1088,1.0,True,False,True,True
38.691,59.217,39.1847,53.4551,55.0,26.3403,68.6528,48.7872,0.0,True,True,False,False
20.7345,96.033,82.081,57.0253,75.0,7.2397,9.7995,3.138,1.0,True,False,False,True
0.0,51.18009999999998,88.74900000000001,34.0403,66.0,12.7352,5.3455,7.6016,1.0,True,False,False,True
23.13050000000001,93.895,100.0,95.9187,88.0,49.7131,67.2932,94.5175,1.0,True,False,True,True
