,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
0,"[ 0.27588351 99.74792924 99.99923762 21.4576535  28.         94.0161
 80.7624     63.5628      1.        ]",[ 0.3396 99.827  99.9967 87.686  28.     94.0161 80.7624 63.5628  1.    ],"[ 55.9956 100.      90.3642  92.686   28.      94.0161  80.7624  63.5628
   1.    ]","[  0.3396  75.619   90.0672 100.      28.      94.0161  80.7624  63.5628
   1.    ]",[0.37391534 0.85617086 0.94371879 0.81121   ],[0.37391534 0.80068751 0.96265781 0.65814705],[[0.810484 0.810484 0.810484 0.810484]],[0.2156571  0.60957089 0.81727201 0.49577279],79.07106314954484,12.829899999999952,72.94539999999995,34.653399999999976,-66.24116314954489,60.1155,-6.125663149544891,38.29199999999997,-0.8377421589016056,4.6855782196276055,-0.07747035268717205,1.1049997979996191,2.2855710983276367,0.023261547088623047,0.034380197525024414,0.04464268684387207,98.25533485025521,66.47928932531674,0.6765972496723324,1.298500010402147,108,88
1,"[ 0.25450074 99.82320669 99.99341917 85.26465811  6.         71.8208
 75.0593     60.5977      1.        ]","[ 1.06102121 98.95406768 99.9967     87.80746061  6.         71.8208
 75.0593     60.5977      1.        ]","[ 39.666  100.      88.7994  13.6657   6.      71.8208  75.0593  60.5977
   1.    ]",[ 1.791  82.9775 87.4664 88.6657  6.     71.8208 75.0593 60.5977  1.    ],[0.86469409 0.70784431 0.94721115 0.88253934],[0.86469409 0.60370774 0.93449903 0.7861121 ],[[0.27741752 0.27741752 0.27741752 0.27741752]],[[0.86469409 0.43622442 0.84382993 0.70902447]],15.173216768019074,14.302792929292934,137.2009,42.6814,-0.8704238387261398,122.89810707070706,122.02768323198092,94.5195,-0.057365807925498793,8.592595004224995,8.042308041705525,2.2145360742618565,2.173839569091797,0.03288149833679199,0.161881685256958,0.07198667526245117,66.11132944204763,13.42857016617549,0.2031205586017871,0.44468696473097186,1002,152
2,"[42.72486906 99.24010105 99.97747559 84.97622317 77.          7.5391
  1.6253     80.0753      0.        ]","[ 1.06102121 97.94433535 99.9967     84.78177576 77.          7.5391
  1.6253     80.0753      0.        ]","[ 56.24   100.      93.687   56.6401  77.       7.5391   1.6253  80.0753
   0.    ]","[ 35.997   97.524  100.      86.6401  77.       7.5391   1.6253  80.0753
   0.    ]",[0.27261309 0.81763878 0.97058773 0.57745049],[0.24539445 0.92775545 0.97252697 0.57745049],[[0.81167394 0.81167394 0.81167394 0.81167394]],[0.23884991 0.86349684 0.9620676  0.57745049],58.53106925580448,18.338210101010134,105.91290000000004,51.832899999999995,-40.19285915479435,87.5746898989899,47.381830744195554,54.08000000000004,-0.6866927200515553,4.775530949673544,0.8095158921002752,1.0433527740103303,1.6775145530700684,0.03146624565124512,0.02192401885986328,0.0832054615020752,53.311557141666476,76.51492017921615,1.4352407673235026,3.7951737787637567,78,112
3,"[13.75842789 97.55196917 99.99920632 85.00532191 69.         53.3293
 80.054      70.5053      0.        ]","[16.20383939 90.87620909 99.9967     84.78177576 69.         53.3293
 80.054      70.5053      0.        ]","[ 41.55   100.      90.091   15.2602  69.      53.3293  80.054   70.5053
   0.    ]","[ 16.116   99.773  100.      60.2602  69.      53.3293  80.054   70.5053
   0.    ]",[0.80916337 0.85286192 0.9164896  0.57745049],[0.80916337 0.84990053 0.88352323 0.57745049],[0.10861618 0.10861618 0.10861618 0.10861618],[0.78327803 0.80081491 0.83271897 0.50359447],31.20193049506389,40.54915454545454,136.1988,56.08279999999996,9.34722405039065,95.64964545454546,104.99686950493611,80.11600000000004,0.299571978466825,2.3588567141967096,3.3650760654551966,1.4285306725056541,1.6210908889770508,0.03951001167297363,0.1475691795349121,0.10589385032653809,41.02987623478581,10.985294450278698,0.267738912674691,0.7175878503917925,1002,120
4,"[ 1.5837     90.6196022  99.10115433 18.92385006 99.          2.4322
 12.8356     94.2017      1.        ]","[ 1.06102121 90.87620909 99.9967     19.80746061 99.          2.4322
 12.8356     94.2017      1.        ]",[71.9187 64.838  60.5099 32.8658 99.      2.4322 12.8356 94.2017  1.    ],"[ 34.1615  91.1745 100.      92.8658  99.       2.4322  12.8356  94.2017
   1.    ]",[0.84108509 0.81359925 0.99848431 0.8845587 ],[0.84108509 0.87609714 0.99848431 0.97383886],[[0.84850009 0.84850009 0.84850009 0.84850009]],[[0.82457509 0.64439588 0.99823773 0.96127206]],92.93909341093564,90.38065151515156,213.705,50.121200000000044,-2.5584418957840853,123.32434848484846,120.76590658906437,163.58379999999997,-0.027528156364424437,1.36449944116827,1.2994091308281956,3.2637646345259057,14.544820547103882,1.2277066707611084,0.016735076904296875,0.32063889503479004,11.847146304163127,869.121822999772,73.36128048780488,19.159690563027127,30,1000
5,"[15.2363617  99.88509476 99.98527448 94.58329149 45.         98.6709
  3.9151     61.8843      1.        ]","[ 1.06102121 98.95406768 99.9967     94.86739192 45.         98.6709
  3.9151     61.8843      1.        ]","[ 57.1863 100.     100.      52.6819  45.      98.6709   3.9151  61.8843
   1.    ]","[ 61.029  100.     100.      95.7459  45.      98.6709   3.9151  61.8843
   1.    ]",[0.11009124 0.09321221 0.36121678 0.58623797],[0.11009124 0.11322813 0.18703233 0.52185465],[[0.2714624 0.2714624 0.2714624 0.2714624]],[[0.10400818 0.03006587 0.21520303 0.63649436]],20.782700970892165,7.242861616161576,104.50440000000003,65.28309999999999,-13.539839354730589,97.26153838383846,83.72169902910787,39.22130000000004,-0.651495653702289,13.42860647327722,4.028432066956398,0.6007879527779785,2.8917644023895264,0.018193483352661133,0.1426687240600586,0.09573721885681152,158.9450654575476,20.26908435216813,0.1275225770225737,0.671045595224567,1002,224
6,"[1.31701135e-02 9.81826510e+01 9.99960450e+01 8.43359314e+01
 5.00000000e+01 7.33268000e+01 9.84476000e+01 8.99971000e+01
 1.00000000e+00]","[17.18479697 90.87620909 99.9967     84.79033737 50.         73.3268
 98.4476     89.9971      1.        ]",[37.84   73.664  91.2161 16.3887 50.     73.3268 98.4476 89.9971  1.    ],"[ 34.1585  96.8725 100.      86.3887  50.      73.3268  98.4476  89.9971
   1.    ]",[0.87989255 0.79048144 0.46926126 0.73540623],[0.87989255 0.57122933 0.42549154 0.69949191],[[0.69793556 0.69793556 0.69793556 0.69793556]],[0.86075982 0.57122933 0.34837821 0.69949191],17.498542696530933,41.52155050505047,156.5712,50.89729999999997,24.023007808519537,115.04964949494953,139.07265730346907,105.67390000000003,1.3728576273544237,2.7708418422610563,7.9476708269563545,2.0762181883911346,1.8311817646026611,0.06496739387512207,0.30846738815307617,0.08677959442138672,28.186166250142204,5.936386908083592,0.21061349228555132,0.2813250209073076,1002,176
7,"[15.40267351 99.82384878 99.99968379 84.73787956 60.          5.0044
 65.223      37.6768      0.        ]","[15.19431818 69.6718303  77.77647778 84.78177576 60.          5.0044
 65.223      37.6768      0.        ]",[52.56   68.346  91.889  65.4819 60.      5.0044 65.223  37.6768  0.    ],[37.32   82.9775 88.798  65.4819 60.      5.0044 65.223  37.6768  0.    ],[0.89328678 0.85909253 0.78338444 0.60140953],[0.86593294 0.82035858 0.74061584 0.4271013 ],[[0.87339106 0.87339106 0.87339106 0.87339106]],[0.83611663 0.81335809 0.30779448 0.35626194],30.841261374847647,82.96423434343433,126.84310000000005,100.06259999999997,52.12297296858668,43.87886565656572,96.0018386251524,26.780500000000075,1.6900402462493045,0.5288889363448724,3.112772770812998,0.2676374589506977,2.0307388305664062,0.07634425163269043,0.051486968994140625,0.033097028732299805,26.599760782733885,39.44180188189968,1.4827878417426095,0.6428234052011558,138,56
8,"[  0.15550819  92.7125979   99.999411    21.68323552 100.
  92.6164      59.3104       6.7457       1.        ]","[5.15000000e-02 8.48178152e+01 9.99967000e+01 2.62937636e+01
 1.00000000e+02 9.26164000e+01 5.93104000e+01 6.74570000e+00
 1.00000000e+00]","[ 19.884  100.      95.0371  14.7753 100.      92.6164  59.3104   6.7457
   1.    ]","[  0.      83.97   100.      44.7753 100.      92.6164  59.3104   6.7457
   1.    ]",[0.4015668  0.89156646 0.91158557 0.67112966],[0.4015668  0.84360742 0.8993116  0.46206713],[[0.61210811 0.61210811 0.61210811 0.61210811]],[[0.4015668  0.867351   0.56955791 0.35718376]],85.7602637734671,88.94322121212122,110.07159999999999,71.25469999999996,3.182957438654114,21.128378787878773,24.311336226532887,38.81690000000003,0.037114594785549994,0.23754906219878835,0.2834801941695338,0.5447626612700643,1.9040675163269043,0.02440476417541504,0.24657034873962402,0.07628583908081055,78.02032023915358,7.722207986725857,0.09897688144646395,0.30938772431784844,1002,88
9,"[ 0.84958737 75.84309486 99.82560099 14.06450253 57.         36.8875
 58.619      10.06        1.        ]","[ 1.06102121 90.87620909 99.9967     84.86739192 57.         36.8875
 58.619      10.06        1.        ]",[68.194  92.9059 60.5949 12.4361 57.     36.8875 58.619  10.06    1.    ],"[  0.      77.882  100.      87.4361  57.      36.8875  58.619   10.06
   1.    ]",[0.95790963 0.8027582  0.97077829 0.87665187],[0.95790963 0.73077225 0.9918105  0.89594183],[[0.95710857 0.95710857 0.95710857 0.95710857]],[[0.95790963 0.73800927 0.97998136 0.88400733]],111.11638899047301,25.320720202020198,202.25709999999998,34.681899999999985,-85.79566878845282,176.93637979797978,91.14071100952697,167.5752,-0.7721243424838872,6.9878099195560415,0.8202274375325611,4.831776805769006,13.007009983062744,0.24445152282714844,0.01317286491394043,0.0797429084777832,53.20895461248566,987.4093500570125,18.557202584568603,6.053573690973919,18,144
