,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
0,"[4.23343335e+01 8.36163434e-01 3.34569273e-01 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.20000000e+01 3.25138673e+04 7.10000000e+01]",[ 95.      43.2719   0.       2.      12.     100.      71.    ],[100.      33.5644   0.       2.      12.     100.      71.    ],"[0.95886195 0.88588893 1.         0.87097853 0.88883442 0.90654401
 0.87482694 0.87656285 0.81204928 0.90222838 0.56899869 0.96      ]","[0.92737213 0.89444928 1.         0.8778123  0.89431006 0.91319726
 0.88041881 0.89422403 0.78727125 0.90222838 0.5699808  0.98      ]","[0.87684023 0.73835521 1.         0.59746983 0.73228634 0.81168284
 0.60857503 0.7508201  0.53642922 0.75223359 0.83959496 0.96      ]","[0.82427485 0.73310057 1.         0.59612441 0.72552321 0.79230407
 0.59786746 0.73910601 0.51561027 0.73658744 0.70432645 0.97      ]",339.1636007888326,298.0,349.7281,364.4356,-41.16360078883258,51.72809999999998,10.564499211167401,-14.707500000000039,-0.1213679790316342,0.1735842281879194,0.03114868218935141,-0.040356924515607254,2.975025177001953,0.6813809871673584,5.515174627304077,5.675013780593872,4.366169929938533,0.5394253814327911,0.12354658432645685,1.0289817030449908,162,205
1,"[1.0000000e+02 0.0000000e+00 0.0000000e+00 3.0000000e+00 1.5000000e+01
 3.4316829e+03 7.6000000e+01]","[1.0000000e+02 0.0000000e+00 0.0000000e+00 3.0000000e+00 1.5000000e+01
 3.4316829e+03 7.6000000e+01]",[ 65.       6.2713   0.       3.      15.     100.      76.    ],[  0.      12.6033   0.       3.      15.     100.      76.    ],"[0.95836432 0.8515383  1.         0.93607464 0.9249333  0.93443031
 0.9321267  0.91986308 0.9387599  0.93975783 0.88249153 0.9       ]","[0.95836432 0.8515383  1.         0.93607464 0.9249333  0.93443031
 0.9321267  0.91986308 0.9387599  0.93975783 0.88249153 0.9       ]","[[0.95171969 0.84048399 1.         0.85786633 0.84351718 0.90107575
  0.85093821 0.86153096 0.90149988 0.8888819  0.87438953 0.93      ]]","[0.82397818 0.69617824 1.         0.58156289 0.66327624 0.7130104
 0.58397574 0.69256704 0.63874464 0.70341634 0.88867533 0.91      ]",397.0,397.0,355.7287,284.3967,0.0,-41.2713,-41.2713,71.332,0.0,-0.10395793450881612,-0.10395793450881612,0.25081866280445586,12.2178373336792,19.349517345428467,1.733306884765625,0.8173987865447998,0.631428532069602,7.048859864957656,11.163353423156153,0.4715834187985281,162,5
2,"[1.00000000e+02 7.91358778e-18 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 2.30000000e+01 2.83522556e+04 2.80000000e+01]",[  1.       9.5658   0.       1.      23.     100.      28.    ],[100.      29.5658   0.       1.      23.     100.      28.    ],"[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]","[0.929657   0.94932543 1.         0.86023123 0.94652209 0.92942543
 0.88556936 0.90542858 0.84771006 0.90356413 0.99207765 0.94      ]","[[0.83482913 0.87915478 1.         0.67857165 0.8370818  0.87225203
  0.72834229 0.77980218 0.70022704 0.77540141 0.98991197 0.96      ]]","[0.78472394 0.78824076 1.         0.56552273 0.75051089 0.81548287
 0.58186963 0.73367604 0.60965922 0.74112579 0.93545306 0.77      ]",399.0,399.0,290.43420000000003,369.4342,0.0,-108.56579999999997,-108.56579999999997,-78.99999999999994,0.0,-0.27209473684210517,-0.27209473684210517,-0.21384051611897315,11.488817691802979,6.423240423202515,0.8853764533996582,12.592119932174683,1.7886326736738987,12.97619520791224,7.254812795775888,14.222334334534883,54,203
3,"[1.00000000e+02 5.77558048e-17 0.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 2.00000000e+00
 1.40000000e+01 1.64826401e+04 6.40000000e+01]",[ 55.       4.0328   0.       2.      14.     100.      64.    ],[  0.      17.6233   0.       2.      14.     100.      64.    ],"[0.94813079 0.93741188 1.         0.88854411 0.93734132 0.93374235
 0.89123453 0.90547525 0.89007365 0.91759384 0.95107716 0.96      ]","[0.94813079 0.93741188 1.         0.88854411 0.93734132 0.93374235
 0.89123453 0.90547525 0.89007365 0.91759384 0.95107716 0.96      ]","[[0.94813079 0.93741188 1.         0.88854411 0.93734132 0.93374235
  0.89123453 0.90547525 0.89007365 0.91759384 0.95107716 0.96      ]]","[0.80892379 0.78713824 1.         0.59036464 0.77085296 0.79445197
 0.59866916 0.7488974  0.61350863 0.7422547  0.89155614 0.88      ]",398.0,398.0,348.9672,280.3767,0.0,-49.03280000000001,-49.03280000000001,68.59049999999996,0.0,-0.12319798994974876,-0.12319798994974876,0.2446369473640283,13.318360328674316,12.786955833435059,5.257171392440796,1.1463556289672852,1.0415583272642386,2.533370007267516,2.4322881791187596,0.21805559366308885,138,5
4,"[1.30831928e+00 3.67299755e+00 3.14352429e-01 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.40000000e+01 2.37865594e+04 1.00000000e+00]",[  0.       4.5529   0.       4.      14.     100.       1.    ],[  0.       9.3019   0.       4.      14.     100.       1.    ],"[0.8009386  0.91573286 1.         0.87916373 0.91165536 0.90484069
 0.85679539 0.75544485 0.83931379 0.81413423 0.99021494 0.88      ]","[0.65965366 0.92314322 1.         0.87662559 0.91862583 0.90054084
 0.8575131  0.90923016 0.80970406 0.88437035 0.98667461 0.9       ]","[[0.65965366 0.92314322 1.         0.87662559 0.91862583 0.90054084
  0.8575131  0.90923016 0.80970406 0.88437035 0.98667461 0.9       ]]","[0.62468126 0.79876912 1.         0.59529549 0.80683436 0.80295431
 0.57936316 0.78347658 0.48912052 0.73249105 0.84292454 0.84      ]",293.3209693054856,296.0,291.4471,286.6981,2.679030694514381,-4.552900000000022,-1.8738693054856412,4.748999999999967,0.00913344416138297,-0.015381418918918994,-0.00638846008835481,0.016564462757165,8.648991584777832,0.6632075309753418,19.89735221862793,0.8006038665771484,13.04115405936095,0.434680528833411,0.033331446500426624,0.04023670374732684,1002,5
5,"[5.69530989e+00 5.86997151e+00 2.53332769e-01 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]","[0.00000000e+00 5.48142626e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 2.84796076e+04 9.30000000e+01]",[ 95.      5.502   0.      4.      9.    100.     93.   ],[  0.     13.417   0.      4.      9.    100.     93.   ],"[0.95731803 0.73962012 1.         0.84689071 0.80165426 0.89692981
 0.82992501 0.86781706 0.87375706 0.89802731 0.98432577 0.98      ]","[0.93777245 0.73126744 1.         0.9077     0.78279206 0.89377127
 0.89539923 0.8960793  0.87651736 0.89334062 0.98390228 0.99      ]","[[0.94905598 0.73962012 1.         0.90235186 0.78584389 0.89692981
  0.89042069 0.86781706 0.89484974 0.89802731 0.98761755 0.96      ]]","[0.84653638 0.66594452 1.         0.55399932 0.66454578 0.74948417
 0.57224466 0.72709082 0.60731832 0.70430926 0.8745895  0.94      ]",295.5720056105881,290.51857373737374,385.498,282.58299999999997,-5.053431873214379,94.97942626262625,89.92599438941187,102.91500000000002,-0.01709712617328247,0.3269306503910033,0.30424394963807255,0.36419388285919546,10.573297262191772,0.32792115211486816,7.567583084106445,1.0615367889404297,32.24341337544469,1.3971828448633719,0.04333234910939706,0.14027421663461953,210,5
6,"[1.91697941e+00 2.07842279e+00 1.53609957e-01 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 2.00000000e+00
 2.30000000e+01 3.61661081e+04 5.90000000e+01]",[ 96.   17.3   0.    2.   23.  100.   59. ],[100.   35.7   0.    2.   23.  100.   59. ],"[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]","[0.94020967 0.93605142 1.         0.86187248 0.93884267 0.90272129
 0.86256302 0.84585735 0.85291837 0.85255244 0.92169958 0.79      ]","[0.82082032 0.68632701 1.         0.56350245 0.66673733 0.78911389
 0.54764824 0.72390339 0.62921872 0.73360298 0.94530851 0.85      ]","[0.8090718  0.67650892 1.         0.55968088 0.65770446 0.79463949
 0.5546475  0.70770511 0.60810639 0.72492179 0.83976895 0.77      ]",297.68494666349443,398.0,376.7,362.3,100.31505333650557,-21.30000000000001,79.01505333650556,14.399999999999977,0.33698396395536434,-0.05351758793969852,0.2654318070904164,0.0397460667954733,8.601603269577026,6.418226003646851,5.551235914230347,12.579326629638672,1.3401839175949204,1.5494933745343444,1.1561796513086415,2.266040720300164,162,203
7,"[1.00000000e+02 0.00000000e+00 1.03973652e-16 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 1.00000000e+00
 6.00000000e+00 1.69446039e+04 3.30000000e+01]",[  0.       3.8001   0.       1.       6.     100.      33.    ],[100.      29.0396   0.       1.       6.     100.      33.    ],"[0.95526181 0.93676621 1.         0.88560427 0.9394495  0.93846505
 0.88081557 0.92490631 0.89110499 0.92718738 0.98155081 0.96      ]","[0.95526181 0.93676621 1.         0.88560427 0.9394495  0.93846505
 0.88081557 0.92490631 0.89110499 0.92718738 0.98155081 0.96      ]","[[0.92241701 0.94176078 1.         0.89078385 0.94189155 0.93777222
  0.88469139 0.92490631 0.88810173 0.92718738 0.98420739 0.97      ]]","[0.80518863 0.75691194 1.         0.62652099 0.76391952 0.81030082
 0.63192227 0.75140297 0.65990895 0.74537611 0.95730031 0.85      ]",399.0,399.0,295.1999,369.9604,0.0,-103.80009999999999,-103.80009999999999,-74.76049999999998,0.0,-0.260150626566416,-0.260150626566416,-0.2020770331094895,12.488954544067383,12.698913097381592,1.1346018314361572,12.57257080078125,0.9834664154558629,11.007345659101487,11.192396086041525,11.081042223303246,36,203
8,"[1.00000000e+02 0.00000000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 4.00000000e+00
 9.00000000e+00 1.22184923e+04 8.10000000e+01]",[  0.      32.5415   0.       4.       9.     100.      81.    ],[  0.      33.6685   0.       4.       9.     100.      81.    ],"[0.95498854 0.82916186 1.         0.8980365  0.92012025 0.91349723
 0.88954528 0.9186858  0.90242624 0.93384455 0.98522067 0.95      ]","[0.95498854 0.82916186 1.         0.8980365  0.92012025 0.91349723
 0.88954528 0.9186858  0.90242624 0.93384455 0.98522067 0.95      ]","[[0.79738375 0.68691751 1.         0.5502759  0.66918567 0.72896168
  0.55014861 0.70249482 0.56144713 0.69041291 0.68342727 0.86      ]]","[0.74500279 0.66260714 1.         0.5502759  0.66918567 0.72896168
 0.55014861 0.70249482 0.56144713 0.69041291 0.61899024 0.84      ]",396.0,396.0,263.4585,262.3315,0.0,-132.54149999999998,-132.54149999999998,1.1270000000000095,0.0,-0.3347007575757575,-0.3347007575757575,0.004296091014613226,5.654763460159302,19.065253257751465,0.9877235889434814,0.8353374004364014,0.2966004901015523,5.725046484115986,19.30221518567215,0.8457198043937778,48,5
9,"[1.0000000e+02 0.0000000e+00 0.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]","[1.0000000e+02 0.0000000e+00 0.0000000e+00 3.0000000e+00 1.0000000e+00
 9.7201914e+03 6.4000000e+01]",[ 66.       4.2607   0.       3.       1.     100.      64.    ],[100.      34.2607   0.       3.       1.     100.      64.    ],"[0.95512433 0.93536565 1.         0.89096163 0.93807751 0.95895196
 0.88633239 0.94723558 0.91113413 0.95356399 0.98958743 0.86      ]","[0.95512433 0.93536565 1.         0.89096163 0.93807751 0.95895196
 0.88633239 0.94723558 0.91113413 0.95356399 0.98958743 0.86      ]","[[0.95512433 0.93536565 1.         0.89096163 0.93807751 0.95895196
  0.88633239 0.94723558 0.91113413 0.95356399 0.98958743 0.86      ]]","[0.82785457 0.7638658  1.         0.63695528 0.7746938  0.82801636
 0.62691318 0.76014218 0.66119427 0.75452273 0.88302779 0.83      ]",397.0,397.0,358.7393,362.7393,0.0,-38.260699999999986,-38.260699999999986,-4.0,0.0,-0.09637455919395463,-0.09637455919395463,-0.01102720328346005,12.525468587875366,12.721593379974365,5.438723564147949,12.866660594940186,0.984583315451056,2.30301622065207,2.3390770334118605,2.3657500593994474,144,203
