formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
1.0,33.5644,0.0,2.0,12.0,1000.0,71.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,12.6033,0.0,3.0,15.0,1000.0,76.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,29.5658,0.0,1.0,23.0,1000.0,28.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,17.6233,0.0,2.0,14.0,1000.0,64.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,9.3019,0.0,4.0,14.0,1000.0,1.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,13.417,0.0,4.0,9.0,1000.0,93.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,35.7,0.0,2.0,23.0,1000.0,59.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,29.0396,0.0,1.0,6.0,1000.0,33.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,33.6685,0.0,4.0,9.0,1000.0,81.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,34.2607,0.0,3.0,1.0,1000.0,64.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,24.244,0.0,3.0,21.0,1000.0,17.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.417,0.0,1.0,9.0,1000.0,79.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,19.9034,0.0,1.0,17.0,1000.0,58.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,13.417,0.0,2.0,2.0,1000.0,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,23.271,0.0,1.0,12.0,1000.0,40.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,23.2825,0.0,1.0,18.0,1000.0,64.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,30.616,0.0,2.0,16.0,1000.0,32.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,17.0054,0.0,2.0,14.0,1000.0,67.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,34.117,0.0,2.0,5.0,1000.0,68.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,13.099,0.0,4.0,4.0,1000.0,87.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,13.417,0.0,1.0,18.0,1000.0,81.0,True,False,True,False,False,False,False,False,False,False,False,True
0.0,12.417,0.0,4.0,8.0,1000.0,85.0,False,False,True,False,False,True,False,False,False,False,False,True
0.0,35.7,0.0,2.0,16.0,1000.0,90.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,27.389,0.0,1.0,20.0,1000.0,34.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,34.117,0.0,4.0,1.0,1000.0,24.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,34.8589,0.0,1.0,19.0,1000.0,93.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,31.2063,0.0,2.0,12.0,1000.0,19.0,False,False,True,False,False,False,False,False,False,False,True,True
1.0,13.417,0.0,3.0,22.0,1000.0,87.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.0233,1.0,1.0,1.0,1000.0,49.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,6.8725,0.0,1.0,14.0,1000.0,8.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,24.1295,0.0,3.0,13.0,1000.0,53.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,19.3046,0.0,4.0,21.0,1000.0,61.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,33.3061,0.0,3.0,8.0,1000.0,65.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.7738,0.0,1.0,19.0,1000.0,4.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,5.3832,0.0,2.0,0.0,1000.0,14.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.0957,0.0,3.0,1.0,1000.0,29.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,40.4681,0.0,3.0,3.0,1000.0,56.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,46.733,0.0,1.0,22.0,1000.0,34.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,13.417,0.0,4.0,7.0,1000.0,76.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,24.244,0.0,4.0,10.0,1000.0,18.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,5.7643,0.0,1.0,7.0,1000.0,3.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,32.0984,0.0,4.0,13.0,1000.0,30.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,8.2463,0.0,3.0,11.0,1000.0,47.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,44.2059,0.0,1.0,19.0,1000.0,28.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,17.3,0.0,2.0,15.0,1000.0,82.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,13.417,0.0,1.0,17.0,1000.0,23.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.417,0.0,1.0,7.0,1000.0,9.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,13.417,0.0,2.0,8.0,1000.0,95.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,28.9876,0.0,4.0,9.0,1000.0,19.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,47.4756,0.0,3.0,12.0,1000.0,44.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,13.417,0.0,3.0,2.0,1000.0,87.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,6.3222,0.0,1.0,15.0,1000.0,6.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,13.1236,0.0,1.0,19.0,1000.0,53.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,10.9497,0.0,3.0,12.0,1000.0,57.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,19.1343,0.0,3.0,23.0,1000.0,14.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,19.0265,0.0,2.0,21.0,1000.0,46.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,20.5512,0.0,4.0,16.0,1000.0,30.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,6.5727,0.0,3.0,16.0,1000.0,55.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,34.117,0.0,2.0,0.0,1000.0,1.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,12.2126,0.0,2.0,7.0,1000.0,36.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,8.5554,0.0,4.0,6.0,1000.0,44.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,13.417,0.0,1.0,17.0,1000.0,77.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,7.8169,0.0,4.0,11.0,1000.0,85.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,42.1968,0.0,3.0,10.0,1000.0,16.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,15.3001,0.0,2.0,7.0,1000.0,71.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,11.5843,0.0,1.0,11.0,1000.0,85.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,13.417,0.0,3.0,23.0,1000.0,62.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,11.5764,0.0,4.0,18.0,1000.0,2.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,13.417,0.0,4.0,7.0,1000.0,94.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,9.5475,0.0,1.0,7.0,1000.0,92.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,19.5397,0.0,2.0,11.0,1000.0,70.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,18.2327,0.0,2.0,4.0,1000.0,58.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,9.2802,0.0,1.0,0.0,1000.0,91.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,35.3653,0.0,4.0,5.0,1000.0,35.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,31.6373,0.0,4.0,16.0,1000.0,4.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,20.9588,0.0,1.0,14.0,1000.0,58.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,15.5365,0.0,2.0,19.0,1000.0,93.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,46.2067,0.0,3.0,12.0,1000.0,50.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,13.417,0.0,3.0,17.0,1000.0,93.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,13.5677,0.0,1.0,1.0,1000.0,74.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,10.8916,0.0,3.0,14.0,1000.0,48.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,27.0182,0.0,4.0,4.0,1000.0,13.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,9.721,0.0,4.0,17.0,1000.0,53.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,8.9543,0.0,2.0,15.0,1000.0,2.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,10.7699,0.0,1.0,10.0,1000.0,80.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,24.9834,0.0,3.0,23.0,1000.0,29.0,False,False,True,False,False,False,False,False,False,False,True,True
1.0,37.8849,0.0,1.0,10.0,1000.0,32.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,13.417,0.0,4.0,22.0,1000.0,94.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,13.417,0.0,1.0,13.0,1000.0,3.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,40.0484,0.0,4.0,17.0,1000.0,92.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,46.7934,0.0,4.0,18.0,1000.0,58.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,20.8136,0.0,4.0,14.0,1000.0,62.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,13.417,0.0,1.0,17.0,1000.0,87.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,26.7889,0.0,2.0,23.0,1000.0,36.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,13.4931,0.0,4.0,2.0,1000.0,53.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,49.5443,0.0,4.0,6.0,1000.0,19.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,21.4433,0.0,3.0,3.0,1000.0,61.0,True,False,True,False,False,False,False,False,False,False,False,False
0.0,34.117,0.0,4.0,3.0,1000.0,59.0,False,False,True,False,False,False,False,False,False,False,False,True
0.0,6.4695,0.0,4.0,20.0,1000.0,48.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,17.9418,0.0,3.0,3.0,1000.0,89.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,18.9839,0.0,2.0,0.0,1000.0,91.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,27.5692,0.0,3.0,19.0,1000.0,96.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,21.1477,0.0,2.0,18.0,1000.0,63.0,False,False,True,False,False,False,False,False,False,False,True,True
0.0,42.7763,0.0,4.0,16.0,1000.0,46.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,7.5209,0.0,1.0,4.0,1000.0,26.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,37.2684,0.0,4.0,7.0,1000.0,76.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,36.5911,0.0,1.0,4.0,1000.0,25.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,32.731,0.0,3.0,14.0,1000.0,10.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,13.417,0.0,1.0,2.0,1000.0,87.0,True,False,True,False,False,False,False,False,False,False,True,True
1.0,34.117,0.0,1.0,7.0,1000.0,65.0,False,True,True,False,True,True,False,True,False,True,True,True
0.0,28.8973,0.0,2.0,19.0,1000.0,64.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,20.8532,0.0,4.0,4.0,1000.0,42.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,27.2292,0.0,1.0,3.0,1000.0,20.0,False,False,True,False,False,True,False,False,False,False,True,True
1.0,13.417,0.0,1.0,13.0,1000.0,13.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,23.244,0.0,3.0,12.0,1000.0,21.0,False,True,True,False,True,True,False,False,False,False,True,True
0.0,24.244,0.0,1.0,20.0,1000.0,73.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,34.1358,0.0,1.0,6.0,1000.0,51.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,8.4307,0.0,3.0,11.0,1000.0,68.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,43.7335,0.0,3.0,2.0,1000.0,68.0,False,True,True,False,True,True,False,False,False,False,False,True
0.0,24.244,0.0,4.0,16.0,1000.0,10.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,35.7427,0.0,2.0,12.0,1000.0,17.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,12.0651,0.0,2.0,7.0,1000.0,98.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,24.244,0.0,2.0,23.0,1000.0,22.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,27.6791,0.0,4.0,2.0,1000.0,57.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,34.117,0.0,1.0,1.0,1000.0,30.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,37.1648,0.0,3.0,23.0,1000.0,96.0,True,False,True,False,False,False,False,False,False,False,True,True
0.0,6.5493,0.0,1.0,18.0,1000.0,8.0,True,True,True,True,True,True,True,True,True,True,True,True
0.0,13.417,0.0,1.0,13.0,1000.0,88.0,False,True,True,False,True,True,False,False,False,False,True,True
1.0,34.117,0.0,3.0,12.0,1000.0,72.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,31.6579,0.0,3.0,14.0,1000.0,38.0,True,True,True,True,True,True,True,True,True,True,True,True
