formation,flying_speed,countermeasure,weather,day_time,threat_range,#threats,req_0,req_1,req_2,req_3,req_4,req_5,req_6,req_7,req_8,req_9,req_10,req_11
0.0,5.0,1.0,2.0,22.0,15986.3555,86.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,5.26896912790474,0.0,4.0,21.0,17436.5609,41.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.281669727948767,0.0,3.0,2.0,33469.789,1.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,50.0,0.0,3.0,6.0,5668.7725,85.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,48.96436223096708,0.0,3.0,10.0,24438.4992,76.0,False,True,True,False,True,True,False,False,False,False,False,True
1.0,50.0,0.0,1.0,17.0,19723.8846,76.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.270581398652114,0.0,1.0,19.0,29828.371,6.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.283441785185359,0.0,1.0,18.0,6107.9024,19.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,50.0,0.0,1.0,23.0,12411.9699,77.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,50.0,0.0,4.0,17.0,36374.0466,49.0,False,False,True,False,False,False,False,False,False,False,False,True
1.0,5.270029220504586,0.0,2.0,18.0,34575.7425,80.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.268989067783469,0.0,4.0,17.0,4015.8341,13.0,False,False,True,False,False,False,False,False,False,False,False,False
0.0,5.271941248254192,0.0,2.0,13.0,15620.3749,89.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.288682724579065,0.0,2.0,16.0,6682.8916,17.0,False,True,True,False,True,True,False,False,False,False,False,False
1.0,50.0,0.0,1.0,9.0,26241.2089,42.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,50.0,0.0,1.0,3.0,38365.4169,42.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,5.272246961062744,0.0,4.0,12.0,8673.1332,46.0,True,False,True,False,False,False,False,False,False,False,False,True
1.0,48.96329208261014,0.0,3.0,1.0,37613.9969,50.0,True,False,True,False,False,True,False,True,True,True,True,True
1.0,50.0,0.0,3.0,0.0,15454.6175,56.0,False,False,True,False,False,False,False,False,False,False,False,False
1.0,50.0,0.0,1.0,1.0,39241.6583,77.0,False,True,True,False,True,True,False,True,False,True,True,True
1.0,5.288200042170015,0.0,3.0,12.0,15807.6199,56.0,True,True,True,True,True,True,True,True,True,True,True,True
1.0,5.235511343341868,0.0,2.0,4.0,36784.2707,96.0,True,False,True,False,False,False,False,False,False,False,False,False
1.0,5.269210803742682,0.0,2.0,10.0,13539.6287,73.0,True,False,True,False,False,False,False,False,False,False,False,False
