,nsga3_adaptation,custom_adaptation,anchors_adaptation,wip_adaptation,nsga3_confidence,custom_confidence,anchors_confidence,wip_confidence,nsga3_score,custom_score,anchors_score,wip_score,score_diff_custom_NSGA,score_diff_anchors_custom,score_diff_anchors_nsga,score_diff_anchors_wip,score_improvement_NSGA_custom[%],score_improvement_anchors_custom[%],score_improvement_anchors_NSGA[%],score_improvement_anchors_WIP[%],nsga3_time,custom_time,anchors_time,wip_time,speed-up_custom_NSGA,speed-up_anchors_NSGA,speed-up_anchors_custom,speed-up_WIP_anchors,iterations_anchors,iterations_wip
0,"[9.03455440e+00 1.87176809e+01 6.07367570e+01 1.00000000e+00
 1.20000000e+01 2.37092926e+04 1.70000000e+01]","[1.00000000e+02 6.65630000e+00 0.00000000e+00 1.00000000e+00
 1.20000000e+01 2.37092926e+04 1.70000000e+01]","[1.00000000e+02 3.90030000e+00 1.00000000e+00 1.00000000e+00
 1.20000000e+01 2.37092926e+04 1.70000000e+01]","[1.00000000e+02 6.65630000e+00 1.00000000e+00 1.00000000e+00
 1.20000000e+01 2.37092926e+04 1.70000000e+01]","[4.71881670e-03 3.47658160e-01 9.60000000e-01 9.24291526e-05
 5.37657842e-01 5.09076156e-01 9.24291526e-05 2.72436973e-05
 2.72436973e-05 2.72436973e-05 2.52857280e-05 5.97202590e-03]","[3.64016245e-01 1.02697989e-01 1.00000000e+00 1.02874835e-03
 1.03135248e-01 1.64292752e-01 1.02874835e-03 7.89130936e-05
 7.89130936e-05 7.89130936e-05 7.58939786e-05 3.22022099e-01]","[[3.06483354e-01 6.06450797e-02 9.70000000e-01 1.59465941e-04
  3.56788526e-02 4.37994124e-02 1.59465941e-04 2.14178872e-05
  2.14178872e-05 2.14178872e-05 7.62372147e-05 3.31449837e-03]]","[2.27626572e-02 6.06450797e-02 1.00000000e+00 1.59465941e-04
 4.37825985e-02 5.94975445e-02 1.59465941e-04 2.14178872e-05
 2.14178872e-05 2.14178872e-05 7.62372147e-05 1.30103440e-02]",228.580116506131,392.3437,394.0997,391.3437,163.76358349386902,1.7559999999999718,165.519583493869,2.755999999999972,0.7164384461650082,0.004475667635290109,0.7241206541664765,0.00704240288012806,21.69399333000183,21.27530336380005,21.67333197593689,20.155125379562378,1.0196796237892516,1.000953307691124,0.9816350982590606,0.9299504756324445,228,204
1,"[9.13008527e+00 5.07911030e+00 1.41113048e-02 3.00000000e+00
 1.40000000e+01 1.26220312e+04 7.80000000e+01]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.26220312e+04 7.80000000e+01]","[9.50000000e+01 3.91900000e+00 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.26220312e+04 7.80000000e+01]","[0.00000000e+00 1.24170000e+01 0.00000000e+00 3.00000000e+00
 1.40000000e+01 1.26220312e+04 7.80000000e+01]","[2.75292493e-01 7.15786674e-01 9.80000000e-01 2.57613865e-04
 5.95761953e-01 7.14458946e-01 2.57613865e-04 4.43516212e-04
 4.43516212e-04 4.43516212e-04 5.60584012e-03 1.63496850e-01]","[1.10434455e-01 7.12146692e-01 9.80000000e-01 3.09082418e-04
 5.95761953e-01 7.14458946e-01 3.09082418e-04 5.32720063e-04
 5.32720063e-04 5.32720063e-04 6.65966654e-03 5.98674673e-02]","[[2.49756558e-01 7.15786674e-01 9.80000000e-01 2.57613865e-04
  5.95761953e-01 7.14458946e-01 2.57613865e-04 4.43516212e-04
  4.43516212e-04 4.43516212e-04 5.60584012e-03 8.82773273e-02]]","[8.41286795e-02 6.37795380e-02 1.00000000e+00 3.38878774e-04
 5.93852364e-02 7.72685387e-02 3.38878774e-04 5.75525686e-04
 5.75525686e-04 5.75525686e-04 2.74845050e-03 3.75466942e-02]",301.0368636667301,297.0,388.081,284.58299999999997,-4.036863666730085,91.08100000000002,87.04413633326993,103.49800000000005,-0.013409864883522004,0.3066700336700337,0.2891477650711714,0.36368300284978394,13.321882009506226,1.2448139190673828,7.438744068145752,1.612441062927246,10.701906369658051,1.7908778535012775,0.1673419474663653,0.2167625405788665,174,6
2,"[8.19074220e+01 6.98932685e+00 8.67109254e-02 3.00000000e+00
 9.00000000e+00 3.53057362e+04 3.00000000e+01]","[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.00000000e+00
 9.00000000e+00 3.53057362e+04 3.00000000e+01]","[9.50000000e+01 3.02340000e+01 0.00000000e+00 3.00000000e+00
 9.00000000e+00 3.53057362e+04 3.00000000e+01]","[0.00000000e+00 3.31170000e+01 0.00000000e+00 3.00000000e+00
 9.00000000e+00 3.53057362e+04 3.00000000e+01]","[2.95284356e-01 3.01760936e-02 9.90000000e-01 2.57782667e-04
 2.10534132e-01 1.35225099e-01 2.57782667e-04 1.13453025e-04
 1.13453025e-04 1.13453025e-04 4.26194565e-05 9.20855908e-01]","[4.66199140e-01 9.88060493e-02 9.80000000e-01 1.98485825e-04
 5.75828615e-02 6.26446048e-02 1.98485825e-04 1.13453025e-04
 1.13453025e-04 1.13453025e-04 4.72366701e-05 9.97083828e-03]","[5.02633211e-02 4.81194804e-02 9.90000000e-01 1.47641776e-05
 5.06740676e-02 5.68828770e-02 1.47641776e-05 1.02639991e-04
 1.02639991e-04 1.02639991e-04 2.81260182e-05 1.90140117e-02]","[3.02794637e-02 4.44629292e-02 9.90000000e-01 2.09032478e-05
 4.98520226e-02 5.47783170e-02 2.09032478e-05 1.02639991e-04
 1.02639991e-04 1.02639991e-04 3.75626187e-05 1.41120335e-02]",371.831384213049,297.0,361.766,263.88300000000004,-74.83138421304898,64.76600000000002,-10.065384213048958,97.88299999999998,-0.2012508556033363,0.21806734006734013,-0.02706975430369206,0.3709333303016866,15.818069458007812,0.7640743255615234,7.855793237686157,1.409419298171997,20.70226538024688,2.013554707896928,0.09726253001365572,0.17941145540983294,162,7
3,"[1.85766054e+00 6.98454814e+00 4.24597828e-01 4.00000000e+00
 1.60000000e+01 1.94827134e+04 6.40000000e+01]","[1.00000000e+02 6.83481414e+00 0.00000000e+00 4.00000000e+00
 1.60000000e+01 1.94827134e+04 6.40000000e+01]","[9.60000000e+01 1.87188000e+01 0.00000000e+00 4.00000000e+00
 1.60000000e+01 1.94827134e+04 6.40000000e+01]","[1.00000000e+02 1.96603000e+01 0.00000000e+00 4.00000000e+00
 1.60000000e+01 1.94827134e+04 6.40000000e+01]","[2.60630941e-01 1.12431238e-01 1.00000000e+00 2.38709166e-04
 5.09340765e-01 3.75845872e-01 2.38709166e-04 2.53643200e-04
 2.53643200e-04 2.53643200e-04 2.71617231e-04 8.50667488e-01]","[2.38286699e-01 1.12431238e-01 1.00000000e+00 2.38709166e-04
 1.32572122e-01 1.56316988e-01 2.38709166e-04 2.53643200e-04
 2.53643200e-04 2.53643200e-04 2.71617231e-04 1.79102655e-01]","[[7.57973897e-02 3.28783226e-01 1.00000000e+00 8.53115926e-05
  4.71014261e-01 4.82992674e-01 8.53115926e-05 3.20267747e-04
  3.20267747e-04 3.20267747e-04 7.27118459e-05 7.43125525e-03]]","[5.15752655e-02 1.05375745e-01 1.00000000e+00 8.53115926e-05
 1.04152832e-01 9.94700841e-02 8.53115926e-05 1.86942911e-04
 1.86942911e-04 1.86942911e-04 4.18617274e-05 2.00580132e-01]",290.4485145680324,389.16518585858586,373.2812,376.3397,98.71667129055345,-15.883985858585845,82.8326854319676,-3.058499999999981,0.33987666088555885,-0.04081553652735458,0.28518887609103444,-0.008126966142556794,11.910641193389893,8.854676246643066,8.3401517868042,12.161940813064575,1.3451244135442428,1.4281084442893386,1.0616924575225295,1.4582397447858462,162,104
4,"[8.70052691e+01 5.07173123e+00 3.53402676e-03 2.00000000e+00
 5.00000000e+00 8.08056340e+03 8.20000000e+01]","[1.0000000e+02 0.0000000e+00 0.0000000e+00 2.0000000e+00 5.0000000e+00
 8.0805634e+03 8.2000000e+01]","[9.6000000e+01 3.0795300e+01 1.0000000e+00 2.0000000e+00 5.0000000e+00
 8.0805634e+03 8.2000000e+01]","[1.0000000e+02 2.5795300e+01 1.0000000e+00 2.0000000e+00 5.0000000e+00
 8.0805634e+03 8.2000000e+01]","[0.73143121 0.77812415 0.96       0.02145333 0.66391862 0.70879577
 0.02145333 0.01337424 0.01337424 0.01337424 0.02179416 0.33381931]","[0.67846273 0.77812415 0.96       0.02145333 0.66391862 0.70879577
 0.02145333 0.01337424 0.01337424 0.01337424 0.02179416 0.19886918]","[[5.36626171e-03 2.29447546e-01 1.00000000e+00 6.00603351e-04
  2.23736416e-01 6.34291668e-02 6.00603351e-04 2.34034276e-04
  2.34034276e-04 2.34034276e-04 4.73115972e-04 2.43942849e-03]]","[5.36626171e-03 7.26263658e-02 1.00000000e+00 2.83721020e-04
 6.64524820e-02 5.22409253e-02 2.83721020e-04 3.84417392e-04
 3.84417392e-04 3.84417392e-04 7.75039429e-04 2.43942849e-03]",379.9300038618746,398.0,362.2047,371.2047,18.06999613812542,-35.7953,-17.72530386187458,-9.0,0.047561382240016124,-0.08993793969849245,-0.046654130186355856,-0.02424538266891556,9.436861991882324,9.68980622291565,15.59403109550476,30.047263860702515,0.9738958421650238,0.605158597804942,0.6213791779412892,1.926843910768149,150,302
5,"[5.25558517e+01 6.98039864e+00 7.08347003e-02 4.00000000e+00
 1.00000000e+01 3.43112402e+04 3.30000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 4.00000000e+00
 1.00000000e+01 3.43112402e+04 3.30000000e+01]","[1.00000000e+02 2.52555000e+01 0.00000000e+00 4.00000000e+00
 1.00000000e+01 3.43112402e+04 3.30000000e+01]","[0.00000000e+00 1.55480000e+01 0.00000000e+00 4.00000000e+00
 1.00000000e+01 3.43112402e+04 3.30000000e+01]","[3.12113567e-01 3.17282018e-02 1.00000000e+00 9.88259329e-04
 2.22990740e-01 1.39688489e-01 9.88259329e-04 1.93548753e-04
 1.93548753e-04 1.93548753e-04 9.39959937e-05 9.41316266e-01]","[6.89917212e-01 1.07261082e-01 9.30000000e-01 9.88259329e-04
 6.16970805e-02 6.48920920e-02 9.88259329e-04 1.93548753e-04
 1.93548753e-04 1.93548753e-04 9.39959937e-05 2.67036834e-02]","[5.42020501e-02 5.03722438e-02 1.00000000e+00 3.89171415e-04
 2.74957189e-01 3.57295220e-01 3.89171415e-04 3.53216601e-04
 3.53216601e-04 3.53216601e-04 1.09059845e-04 2.60257396e-02]","[4.62672308e-02 2.53911860e-02 1.00000000e+00 4.06515930e-04
 2.26462482e-02 3.76864752e-02 4.06515930e-04 2.99732055e-04
 2.99732055e-04 2.99732055e-04 5.69892654e-05 1.78847614e-02]",341.50461831191666,396.0,370.7445,280.452,54.49538168808334,-25.255499999999984,29.239881688083358,90.29250000000002,0.15957436229547398,-0.06377651515151511,0.0856207504092282,0.3219534893671645,12.635052680969238,13.178032636642456,5.886195182800293,1.4388220310211182,0.9587965843882171,2.146556865441599,2.238803204343141,0.24444008163803604,156,5
6,"[6.67884610e-01 6.99821065e+00 7.29259163e-02 1.00000000e+00
 1.20000000e+01 2.35984420e+03 5.60000000e+01]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 1.0000000e+00 1.2000000e+01
 2.3598442e+03 5.6000000e+01]","[0.0000000e+00 6.7886000e+00 0.0000000e+00 1.0000000e+00 1.2000000e+01
 2.3598442e+03 5.6000000e+01]","[0.0000000e+00 1.8788600e+01 0.0000000e+00 1.0000000e+00 1.2000000e+01
 2.3598442e+03 5.6000000e+01]","[3.47690856e-01 4.49081532e-02 9.80000000e-01 1.19615335e-03
 3.54710551e-01 2.66901418e-01 1.19615335e-03 1.57124334e-04
 1.57124334e-04 1.57124334e-04 1.27591178e-04 9.28770095e-01]","[4.44480047e-01 4.73811707e-02 9.50000000e-01 9.78555996e-04
 6.13822728e-02 7.50252555e-02 9.78555996e-04 1.45782062e-04
 1.45782062e-04 1.45782062e-04 8.85436530e-05 8.64224515e-01]","[[8.69892145e-02 4.73811707e-02 9.70000000e-01 9.78555996e-04
  7.48707728e-02 1.00735988e-01 9.78555996e-04 1.45782062e-04
  1.45782062e-04 1.45782062e-04 8.85436530e-05 1.35622794e-01]]","[9.45255350e-03 4.02359049e-02 9.90000000e-01 9.13685595e-04
 4.32492904e-02 8.73581025e-02 9.13685595e-04 1.92912194e-04
 1.92912194e-04 1.92912194e-04 4.08872074e-05 8.30615057e-03]",292.59674804688177,299.0,292.2114,280.2114,6.403251953118229,-6.788599999999974,-0.3853480468817452,12.0,0.021884221187900073,-0.02270434782608687,-0.0013169936079399016,0.0428248101254981,15.654433012008667,0.6712400913238525,1.1662797927856445,1.4984724521636963,23.32165973747818,13.422536434947785,0.5755395021640597,1.2848310169077128,48,11
7,"[1.66247362e+01 5.08253557e+00 4.31732834e-02 4.00000000e+00
 3.00000000e+00 8.55715960e+03 7.70000000e+01]","[1.0000000e+02 0.0000000e+00 0.0000000e+00 4.0000000e+00 3.0000000e+00
 8.5571596e+03 7.7000000e+01]","[9.5000000e+01 4.7185400e+01 0.0000000e+00 4.0000000e+00 3.0000000e+00
 8.5571596e+03 7.7000000e+01]","[0.0000000e+00 4.7185400e+01 0.0000000e+00 4.0000000e+00 3.0000000e+00
 8.5571596e+03 7.7000000e+01]","[6.84894765e-01 4.20785094e-01 9.90000000e-01 9.11717652e-04
 2.84560987e-01 6.10276213e-01 9.11717652e-04 1.21135486e-03
 1.21135486e-03 1.21135486e-03 1.33534300e-03 3.32074966e-01]","[6.27423302e-01 4.20785094e-01 9.90000000e-01 9.11717652e-04
 2.84560987e-01 6.10276213e-01 9.11717652e-04 1.21135486e-03
 1.21135486e-03 1.21135486e-03 1.33534300e-03 1.97620813e-01]","[[6.40641862e-02 4.61425598e-02 9.70000000e-01 1.15119292e-04
  4.20144049e-02 4.89269794e-02 1.15119292e-04 1.74714005e-04
  1.74714005e-04 1.74714005e-04 3.37969919e-04 3.80962697e-03]]","[3.88175994e-02 4.53643732e-02 9.80000000e-01 1.73135399e-04
 4.20144049e-02 4.89269794e-02 1.73135399e-04 1.62102064e-04
 1.62102064e-04 1.62102064e-04 5.69376629e-04 4.59802044e-03]",307.4990273310069,396.0,343.8146,248.81459999999998,88.50097266899309,-52.185400000000016,36.31557266899307,95.0,0.28780895158320724,-0.13178131313131317,0.11809979688131247,0.38181039215544427,10.64331603050232,9.549917221069336,9.492214441299438,1.5069711208343506,1.114493014349977,1.1212679713802696,1.0060789587220913,0.15875864690516342,150,5
8,"[8.85283362e+01 6.97712120e+00 3.13328424e-01 3.00000000e+00
 6.00000000e+00 6.71802720e+03 2.50000000e+01]","[0.0000000e+00 0.0000000e+00 0.0000000e+00 3.0000000e+00 6.0000000e+00
 6.7180272e+03 2.5000000e+01]","[6.5000000e+01 3.7995000e+00 0.0000000e+00 3.0000000e+00 6.0000000e+00
 6.7180272e+03 2.5000000e+01]","[0.0000000e+00 1.2507000e+01 0.0000000e+00 3.0000000e+00 6.0000000e+00
 6.7180272e+03 2.5000000e+01]","[4.43070948e-01 5.05768687e-02 9.60000000e-01 8.85997782e-04
 3.22024016e-01 2.56172731e-01 8.85997782e-04 5.78364823e-04
 5.78364823e-04 5.78364823e-04 1.59704388e-04 9.67741015e-01]","[7.29402269e-01 4.97277969e-02 1.00000000e+00 7.24781246e-04
 5.34854805e-02 7.12597319e-02 7.24781246e-04 5.36630454e-04
 5.36630454e-04 5.36630454e-04 1.63820776e-04 2.97899068e-01]","[[8.78466946e-01 5.05768687e-02 9.80000000e-01 8.85997782e-04
  5.34854805e-02 7.12597319e-02 8.85997782e-04 5.78364823e-04
  5.78364823e-04 5.78364823e-04 1.59704388e-04 3.03573189e-01]]","[6.29140865e-02 3.74588534e-02 9.80000000e-01 1.11581758e-03
 3.26039178e-02 4.34124042e-02 1.11581758e-03 5.35945524e-04
 5.35945524e-04 5.35945524e-04 2.13461739e-04 2.55201838e-02]",378.2378865554871,297.0,358.20050000000003,284.493,-81.23788655548708,61.200500000000034,-20.037386555487046,73.70750000000004,-0.21477987648275834,0.20606228956228967,-0.05297562002041164,0.25908370328971203,8.40508222579956,0.6303002834320068,7.604981422424316,0.8840932846069336,13.335044337967924,1.1052074632314075,0.08287992414728078,0.11625186644112831,162,6
9,"[5.27332999e+01 5.07337712e+00 3.80095100e-01 3.00000000e+00
 2.30000000e+01 3.67674305e+04 8.80000000e+01]","[1.00000000e+02 0.00000000e+00 0.00000000e+00 3.00000000e+00
 2.30000000e+01 3.67674305e+04 8.80000000e+01]","[9.50000000e+01 2.29150000e+01 0.00000000e+00 3.00000000e+00
 2.30000000e+01 3.67674305e+04 8.80000000e+01]","[0.00000000e+00 1.24170000e+01 0.00000000e+00 3.00000000e+00
 2.30000000e+01 3.67674305e+04 8.80000000e+01]","[0.35142225 0.44828346 0.75       0.00389332 0.79609401 0.77524243
 0.00389332 0.0011586  0.0011586  0.0011586  0.00123735 0.03250464]","[0.32196185 0.44828346 0.75       0.00389332 0.82874816 0.84309867
 0.00389332 0.0011586  0.0011586  0.0011586  0.00123735 0.0163709 ]","[7.06476894e-02 3.37557063e-01 1.00000000e+00 8.55296967e-04
 7.06224772e-02 2.01679984e-01 8.55296967e-04 1.25356903e-03
 1.25356903e-03 1.25356903e-03 4.66043944e-04 2.91886165e-02]","[9.96554364e-02 3.87863749e-02 1.00000000e+00 2.98422039e-03
 4.12997701e-02 6.34511831e-02 2.98422039e-03 1.82608911e-03
 1.82608911e-03 1.82608911e-03 5.76766499e-04 1.61008107e-02]",344.27982769279123,397.0,369.085,284.58299999999997,52.72017230720877,-27.91500000000002,24.80517230720875,84.50200000000001,0.15313174942753888,-0.07031486146095724,0.07204945022031024,0.29693270504562824,13.551291465759277,5.962963581085205,5.02839469909668,0.9515299797058105,2.2725765940856317,2.694953812634017,1.1858582983066972,0.18923136242203642,174,6
