cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
55.99559999999999,100.0,90.3642,92.686,28.0,94.0161,80.7624,63.5628,1.0,False,False,True,False
39.666,100.0,88.7994,13.6657,6.0,71.8208,75.0593,60.5977,1.0,True,False,False,False
56.24000000000003,100.0,93.687,56.6401,77.0,7.5391,1.6253,80.0753,0.0,False,False,True,True
41.55,100.0,90.091,15.2602,69.0,53.3293,80.054,70.5053,0.0,True,False,False,False
71.9187,64.838,60.5099,32.8658,99.0,2.4322,12.8356,94.2017,1.0,True,False,True,True
57.1863,100.0,100.0,52.6819,45.0,98.6709,3.9151,61.8843,1.0,False,False,False,False
37.84,73.664,91.2161,16.3887,50.0,73.3268,98.4476,89.9971,1.0,True,False,False,False
52.56000000000003,68.34599999999999,91.889,65.4819,60.0,5.0044,65.223,37.6768,0.0,True,True,True,True
19.884,100.0,95.0371,14.7753,100.0,92.6164,59.3104,6.7457,1.0,True,False,False,False
68.194,92.9059,60.5949,12.4361,57.0,36.8875,58.619,10.06,1.0,True,False,False,True
61.4811,41.4092,90.8149,41.5856,32.0,47.4298,72.366,51.9463,1.0,True,True,False,True
32.323,93.9462,56.2195,67.8541,65.0,71.5749,16.7207,90.6924,1.0,True,False,True,True
34.2593,100.0,100.0,70.3412,37.0,79.1809,53.0692,31.1356,0.0,False,True,False,True
34.146,59.482,81.054,61.3499,57.0,91.1472,30.0571,47.7731,1.0,False,False,True,True
54.11889999999999,100.0,92.17340000000004,95.6669,54.0,8.7951,97.14,64.1799,0.0,True,True,False,False
2.8806,81.985,60.4904,46.5005,79.0,86.3154,36.3292,89.1413,1.0,True,False,True,True
44.9811,100.0,100.0,23.1114,63.0,92.8676,18.7256,55.7951,1.0,False,False,True,False
32.4316,100.0,90.99,29.5269,86.0,81.9628,80.0029,77.7698,0.0,True,True,False,False
33.3876,59.482,65.3094,79.7795,68.0,53.6763,79.7056,39.447,1.0,True,True,True,True
52.56000000000003,79.651,100.0,31.1387,48.0,5.8405,17.4103,42.6772,0.0,False,False,False,False
6.8936,41.0129,45.106,99.435,92.0,48.5672,34.9167,13.1011,1.0,True,False,True,True
4.3349,67.8216,80.6046,38.6097,34.0,23.4219,55.6327,75.5008,1.0,True,False,True,True
28.6913,88.8869,83.798,68.592,20.0,30.5299,88.347,72.1533,1.0,True,True,True,True
6.0315,68.6021,81.054,86.2702,26.0,25.0392,87.8182,57.3263,0.0,True,True,False,True
36.3198,100.0,100.0,20.5309,97.0,20.7041,57.6769,92.789,0.0,True,False,False,False
36.0,59.482,100.0,16.1538,16.0,10.2433,71.0307,90.0647,0.0,False,False,False,False
16.3439,50.3629,49.2996,27.6669,98.0,35.0461,95.9395,33.3524,1.0,True,False,False,False
39.666,100.0,88.293,26.1339,91.0,63.5706,20.2699,37.0342,0.0,False,False,False,True
61.3777,46.9999,98.034,55.4391,86.0,39.0552,87.3664,91.7777,0.0,False,False,False,False
43.8443,85.5432,57.6313,8.2144,38.0,23.0321,17.0318,57.9137,1.0,True,False,False,False
37.782,100.0,90.091,21.9607,32.0,65.934,46.6649,66.7595,0.0,True,False,False,False
18.942,78.12899999999999,82.899,7.0476,20.0,72.492,98.0729,81.4842,0.0,True,False,False,False
41.55,100.0,90.091,29.2516,85.0,50.5482,73.1106,66.2633,0.0,True,True,False,True
51.23459999999999,100.0,97.31300000000005,66.0746,45.0,22.5852,86.9931,1.8369,0.0,True,False,False,False
30.632400000000004,61.7324,21.5104,83.8106,81.0,53.4866,25.5871,96.7233,1.0,False,False,True,True
39.30459999999999,100.0,100.0,60.2289,65.0,62.7183,42.6459,39.865,0.0,True,True,False,False
32.323,79.8661,78.706,0.5558,37.0,58.9547,54.8968,38.7333,1.0,True,False,False,False
47.2101,67.77629999999999,100.0,84.5925,37.0,85.3993,99.8589,84.4792,1.0,True,False,False,False
73.0306,69.4668,100.0,40.8463,27.0,10.0443,72.3038,62.2536,1.0,True,False,True,True
54.947,31.4089,83.798,52.7215,11.0,30.744,16.739,94.5851,1.0,False,False,True,True
32.32,93.1307,38.756,25.526,26.0,14.0409,48.8787,34.3611,1.0,True,False,True,True
51.724,100.0,100.0,18.3827,91.0,31.7301,71.8311,41.8239,0.0,True,False,False,False
49.61659999999999,83.77400000000002,87.394,0.906,71.0,48.8888,49.0062,41.9591,0.0,True,False,False,False
14.3043,62.103,97.3902,30.3913,37.0,46.8805,53.9955,53.2629,1.0,True,True,True,True
58.67759999999999,100.0,100.0,79.7274,21.0,94.8766,71.2743,47.2309,1.0,False,False,False,False
51.0762,71.9315,84.2606,6.1226,3.0,9.0848,68.2962,51.4503,1.0,False,False,False,False
54.816,59.482,95.3198,71.9035,88.0,56.5751,91.5174,63.1102,1.0,True,False,True,True
33.1784,81.985,98.1097,44.152,26.0,1.6778,89.1919,65.3763,0.0,True,False,False,False
32.32,81.985,83.798,94.574,82.0,7.31,69.8751,49.6013,0.0,True,True,True,False
19.2442,56.984,99.56,50.5586,1.0,87.0757,24.7988,30.4402,0.0,False,False,False,False
40.7122,25.7641,83.798,14.1064,94.0,36.3196,47.4128,30.174,1.0,True,False,False,False
32.32,86.5974,38.756,93.8287,43.0,7.0674,35.4758,25.5403,1.0,True,False,True,True
70.3705,95.1495,39.2553,65.9305,82.0,60.9555,87.7245,36.7579,1.0,True,False,True,True
12.4828,79.08420000000001,21.2907,53.0706,59.0,42.5395,4.4627,26.6783,1.0,True,False,True,False
